OA11CD,English,Welsh/Cymraeg (in England only),Other UK language: Total,Other UK language: Gaelic (Irish),Other UK language: Gaelic (Scottish),Other UK language: Manx Gaelic,Other UK language: Gaelic (Not otherwise specified),Other UK language: Cornish,Other UK language: Scots,Other UK language: Gypsy/Traveller languages,French,Portuguese,Spanish,Other European Language (EU): Total,Other European Language (EU): Italian,Other European Language (EU): German,Other European Language (EU): Polish,Other European Language (EU): Slovak,Other European Language (EU): Czech,Other European Language (EU): Romanian,Other European Language (EU): Lithuanian,Other European Language (EU): Latvian,Other European Language (EU): Hungarian,Other European Language (EU): Bulgarian,Other European Language (EU): Greek,Other European Language (EU): Dutch,Other European Language (EU): Swedish,Other European Language (EU): Danish,Other European Language (EU): Finnish,Other European Language (EU): Estonian,Other European Language (EU): Slovenian,Other European Language (EU): Maltese,Other European Language (EU): Any other European Language (EU),Other European Language (non EU): Total,Other European Language (non EU): Albanian,Other European Language (non EU): Serbian/Croatian/Bosnian,Other European Language (non EU): Ukrainian,Other European Language (non EU): Any other Eastern European Language (non EU),Other European Language (non EU): Northern European Language (non EU),Other European Language (non-national): Total,Other European Language (non-national): Romani language (any),Other European Language (non-national): Yiddish,Russian,Turkish,Arabic,West/Central Asian Language: Total,West/Central Asian Language: Hebrew,West/Central Asian Language: Kurdish,West/Central Asian Language: Persian/Farsi,West/Central Asian Language: Pashto,West/Central Asian Language: West/Central Asian Language (all other),South Asian Language: Total,South Asian Language: Urdu,South Asian Language: Hindi,South Asian Language: Panjabi,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),South Asian Language: Bengali (with Sylheti and Chatgaya),South Asian Language: Gujarati,South Asian Language: Marathi,South Asian Language: Telugu,South Asian Language: Tamil,South Asian Language: Malayalam,South Asian Language: Sinhala,South Asian Language: Nepalese,South Asian Language: South Asian Language (all other),East Asian Language: Total,East Asian Language: Mandarin Chinese,East Asian Language: Cantonese Chinese,East Asian Language: All other Chinese,East Asian Language: Japanese,East Asian Language: Korean,East Asian Language: Vietnamese,East Asian Language: Thai,East Asian Language: Malay,East Asian Language: Tagalog/Filipino,East Asian Language: East Asian Language (all other),Oceanic/Australian language (any),North/South American language (any),Caribbean Creole: Total,Caribbean Creole: Caribbean Creole (English-based),Caribbean Creole: Caribbean Creole (all other),African Language: Total,African Language: Amharic,African Language: Tigrinya,African Language: Somali,African Language: Krio,African Language: Akan,African Language: Yoruba,African Language: Igbo,African Language: Swahili/Kiswahili,African Language: Luganda,African Language: Lingala,African Language: Shona,African Language: Afrikaans,African Language: Any other Nigerian language,African Language: West African language (all other),African Language: African language (all other),Other Languages: Total,Other Languages: All other languages,Sign Language: Total,Sign Language: British sign language,Sign Language: Sign Language (all other),Sign Language: Any Sign Communication System
E00016403,70.57057057057057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.003003003003003,2.7027027027027026,1.5015015015015014,6.006006006006006,0.3003003003003003,0.0,5.405405405405405,0.0,0.0,0.0,0.0,0.0,0.3003003003003003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6006006006006006,0.0,0.0,0.6006006006006006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5015015015015014,0.0,0.0,0.0,0.0,0.0,0.0,3.3033033033033035,0.0,1.2012012012012012,0.0,0.0,0.6006006006006006,0.0,0.0,0.0,1.5015015015015014,0.0,0.0,0.0,0.0,3.3033033033033035,0.0,0.0,1.8018018018018018,0.0,0.0,1.5015015015015014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.207207207207207,0.0,0.0,1.8018018018018018,0.0,2.1021021021021022,0.9009009009009009,0.0,0.0,0.0,0.0,0.9009009009009009,0.0,0.0,1.2012012012012012,0.3003003003003003,0.3003003003003003,0.3003003003003003,0.0,0.0,0.0,0.0
E00016437,77.51479289940828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5641025641025643,0.0,1.7751479289940828,2.1696252465483234,0.19723865877712032,0.0,0.39447731755424065,0.19723865877712032,0.19723865877712032,0.0,0.9861932938856016,0.0,0.0,0.0,0.0,0.19723865877712032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.366863905325444,2.366863905325444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39447731755424065,0.591715976331361,0.0,0.0,0.0,0.0,0.0,0.0,2.366863905325444,0.7889546351084813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19723865877712032,1.3806706114398422,0.0,0.0,0.0,7.495069033530572,0.0,0.39447731755424065,3.353057199211045,0.0,0.0,3.747534516765286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7613412228796843,0.0,0.0,0.19723865877712032,0.0,0.591715976331361,0.0,0.7889546351084813,0.0,0.0,0.39447731755424065,0.19723865877712032,0.0,0.0,0.0,0.591715976331361,0.0,0.0,0.0,0.0,0.0,0.0
E00016439,74.56647398843931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.069364161849711,3.468208092485549,2.023121387283237,4.624277456647399,0.8670520231213873,0.28901734104046245,0.0,0.0,1.4450867052023122,0.0,1.1560693641618498,0.0,0.0,0.28901734104046245,0.0,0.0,0.28901734104046245,0.0,0.0,0.28901734104046245,0.0,0.0,0.0,0.8670520231213873,0.8670520231213873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28901734104046245,0.5780346820809249,0.0,1.7341040462427746,0.0,0.0,1.7341040462427746,0.0,0.0,1.1560693641618498,0.0,0.0,0.0,0.0,0.28901734104046245,0.0,0.0,0.0,0.8670520231213873,0.0,0.0,0.0,0.0,1.7341040462427746,0.0,0.0,0.5780346820809249,0.0,0.0,1.1560693641618498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8901734104046244,0.0,0.0,1.1560693641618498,0.0,0.28901734104046245,0.28901734104046245,0.28901734104046245,0.5780346820809249,0.0,0.0,0.28901734104046245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00016442,78.52760736196319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6809815950920246,1.5337423312883436,1.8404907975460123,3.6809815950920246,1.2269938650306749,0.6134969325153374,1.2269938650306749,0.0,0.0,0.0,0.3067484662576687,0.0,0.0,0.3067484662576687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3067484662576687,0.3067484662576687,0.0,0.0,0.3067484662576687,0.0,0.0,2.4539877300613497,0.0,0.3067484662576687,0.0,0.0,0.6134969325153374,0.0,0.0,0.0,1.5337423312883436,0.0,0.0,0.0,0.0,4.294478527607362,0.0,0.3067484662576687,0.6134969325153374,0.0,0.0,2.7607361963190185,0.0,0.6134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.374233128834356,0.0,0.0,0.3067484662576687,0.3067484662576687,0.0,1.8404907975460123,0.6134969325153374,0.0,0.0,0.0,0.0,0.0,0.3067484662576687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00016399,80.63063063063063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6756756756756757,0.45045045045045046,1.8018018018018018,2.4774774774774775,0.9009009009009009,0.0,0.45045045045045046,0.0,0.0,0.22522522522522523,0.45045045045045046,0.0,0.0,0.0,0.45045045045045046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3513513513513513,1.3513513513513513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45045045045045046,0.6756756756756757,0.45045045045045046,2.027027027027027,0.0,0.22522522522522523,1.5765765765765767,0.22522522522522523,0.0,1.5765765765765767,0.9009009009009009,0.0,0.45045045045045046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22522522522522523,4.2792792792792795,0.0,0.0,1.5765765765765767,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1531531531531534,0.0,0.0,1.3513513513513513,0.0,0.9009009009009009,0.22522522522522523,0.0,0.0,0.22522522522522523,0.0,0.0,0.0,0.0,0.45045045045045046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00016401,70.88607594936708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.746835443037975,0.0,2.2151898734177213,5.379746835443038,2.848101265822785,0.0,1.2658227848101267,0.0,0.0,0.0,0.6329113924050633,0.0,0.6329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2151898734177213,2.2151898734177213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6329113924050633,0.9493670886075949,0.31645569620253167,1.8987341772151898,0.0,1.8987341772151898,0.0,0.0,0.0,1.5822784810126582,0.31645569620253167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9493670886075949,0.0,0.0,0.0,0.31645569620253167,7.2784810126582276,1.2658227848101267,0.31645569620253167,4.113924050632911,0.6329113924050633,0.0,0.9493670886075949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5822784810126582,0.0,0.0,0.31645569620253167,0.0,0.31645569620253167,0.31645569620253167,0.0,0.0,0.0,0.0,0.31645569620253167,0.0,0.0,0.31645569620253167,0.0,0.31645569620253167,0.31645569620253167,0.0,0.0,0.0,0.0
E00016406,85.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.3125,0.3125,1.5625,0.9375,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.3125,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6875,0.0,1.25,1.25,0.3125,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.3125,0.3125,1.25,0.0,0.9375,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.3125,0.0,0.0,0.0,0.0
E00016435,76.76767676767676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25252525252525254,2.525252525252525,1.7676767676767677,3.0303030303030303,0.0,0.0,1.0101010101010102,0.7575757575757576,0.0,0.0,0.5050505050505051,0.25252525252525254,0.0,0.0,0.0,0.5050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101010101010102,0.5050505050505051,0.0,0.5050505050505051,0.0,0.0,0.0,0.0,0.0,0.7575757575757576,0.25252525252525254,0.7575757575757576,1.0101010101010102,0.0,0.5050505050505051,0.5050505050505051,0.0,0.0,1.7676767676767677,0.25252525252525254,0.0,0.0,0.0,0.5050505050505051,0.25252525252525254,0.0,0.0,0.7575757575757576,0.0,0.0,0.0,0.0,7.828282828282828,0.5050505050505051,1.0101010101010102,1.7676767676767677,0.7575757575757576,0.0,3.0303030303030303,0.25252525252525254,0.0,0.0,0.5050505050505051,0.0,0.0,0.0,0.0,0.0,2.0202020202020203,0.0,0.0,0.5050505050505051,0.0,0.0,0.7575757575757576,0.25252525252525254,0.0,0.0,0.0,0.0,0.5050505050505051,0.0,0.0,0.0,0.25252525252525254,0.25252525252525254,0.0,0.0,0.0,0.0
E00016395,76.78571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,1.0714285714285714,1.0714285714285714,8.214285714285714,2.5,0.7142857142857143,0.35714285714285715,0.0,0.0,1.7857142857142858,1.7857142857142858,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.35714285714285715,0.0,0.35714285714285715,0.0,0.0,0.0,1.7857142857142858,0.0,0.0,0.0,0.0,1.7857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.0,0.35714285714285715,0.7142857142857143,0.0,0.35714285714285715,0.0,1.0714285714285714,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.35714285714285715,0.0,0.35714285714285715,1.0714285714285714,0.0,0.0,0.35714285714285715,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00016404,63.687150837988824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0726256983240225,2.793296089385475,1.9553072625698324,10.05586592178771,5.58659217877095,0.5586592178770949,2.2346368715083798,0.27932960893854747,0.0,0.0,0.0,0.0,0.0,0.5586592178770949,0.0,0.27932960893854747,0.5586592178770949,0.0,0.0,0.0,0.0,0.0,0.0,1.675977653631285,1.3966480446927374,0.0,0.0,0.0,0.27932960893854747,0.0,0.0,0.0,1.675977653631285,0.8379888268156425,0.0,3.631284916201117,0.0,0.0,0.27932960893854747,3.35195530726257,0.0,3.631284916201117,0.0,0.27932960893854747,0.0,0.0,2.5139664804469275,0.5586592178770949,0.0,0.0,0.0,0.0,0.0,0.0,0.27932960893854747,6.145251396648045,0.27932960893854747,1.9553072625698324,2.2346368715083798,0.0,0.27932960893854747,0.5586592178770949,0.8379888268156425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8379888268156425,0.0,0.0,0.0,0.0,0.0,0.27932960893854747,0.0,0.27932960893854747,0.0,0.0,0.0,0.0,0.0,0.27932960893854747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
