WD22CD_proposed,Total,English,Welsh/Cymraeg (in England only),Other UK language: Total,Other UK language: Gaelic (Irish),Other UK language: Gaelic (Scottish),Other UK language: Manx Gaelic,Other UK language: Gaelic (Not otherwise specified),Other UK language: Cornish,Other UK language: Scots,Other UK language: Gypsy/Traveller languages,French,Portuguese,Spanish,Other European Language (EU): Total,Other European Language (EU): Italian,Other European Language (EU): German,Other European Language (EU): Polish,Other European Language (EU): Slovak,Other European Language (EU): Czech,Other European Language (EU): Romanian,Other European Language (EU): Lithuanian,Other European Language (EU): Latvian,Other European Language (EU): Hungarian,Other European Language (EU): Bulgarian,Other European Language (EU): Greek,Other European Language (EU): Dutch,Other European Language (EU): Swedish,Other European Language (EU): Danish,Other European Language (EU): Finnish,Other European Language (EU): Estonian,Other European Language (EU): Slovenian,Other European Language (EU): Maltese,Other European Language (EU): Any other European Language (EU),Other European Language (non EU): Total,Other European Language (non EU): Albanian,Other European Language (non EU): Serbian/Croatian/Bosnian,Other European Language (non EU): Ukrainian,Other European Language (non EU): Any other Eastern European Language (non EU),Other European Language (non EU): Northern European Language (non EU),Other European Language (non-national): Total,Other European Language (non-national): Romani language (any),Other European Language (non-national): Yiddish,Russian,Turkish,Arabic,West/Central Asian Language: Total,West/Central Asian Language: Hebrew,West/Central Asian Language: Kurdish,West/Central Asian Language: Persian/Farsi,West/Central Asian Language: Pashto,West/Central Asian Language: West/Central Asian Language (all other),South Asian Language: Total,South Asian Language: Urdu,South Asian Language: Hindi,South Asian Language: Panjabi,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),South Asian Language: Bengali (with Sylheti and Chatgaya),South Asian Language: Gujarati,South Asian Language: Marathi,South Asian Language: Telugu,South Asian Language: Tamil,South Asian Language: Malayalam,South Asian Language: Sinhala,South Asian Language: Nepalese,South Asian Language: South Asian Language (all other),East Asian Language: Total,East Asian Language: Mandarin Chinese,East Asian Language: Cantonese Chinese,East Asian Language: All other Chinese,East Asian Language: Japanese,East Asian Language: Korean,East Asian Language: Vietnamese,East Asian Language: Thai,East Asian Language: Malay,East Asian Language: Tagalog/Filipino,East Asian Language: East Asian Language (all other),Oceanic/Australian language (any),North/South American language (any),Caribbean Creole: Total,Caribbean Creole: Caribbean Creole (English-based),Caribbean Creole: Caribbean Creole (all other),African Language: Total,African Language: Amharic,African Language: Tigrinya,African Language: Somali,African Language: Krio,African Language: Akan,African Language: Yoruba,African Language: Igbo,African Language: Swahili/Kiswahili,African Language: Luganda,African Language: Lingala,African Language: Shona,African Language: Afrikaans,African Language: Any other Nigerian language,African Language: West African language (all other),African Language: African language (all other),Other Languages: Total,Other Languages: All other languages,Sign Language: Total,Sign Language: British sign language,Sign Language: Sign Language (all other),Sign Language: Any Sign Communication System
E05013714,10061,8760,0,1,1,0,0,0,0,0,0,134,51,37,250,34,6,72,1,3,11,49,2,16,16,14,16,3,1,2,2,0,2,0,51,45,4,1,1,0,0,0,0,30,104,62,57,0,20,19,9,9,259,9,0,1,0,18,15,0,0,200,0,2,13,1,98,4,14,39,1,0,22,7,2,8,1,0,0,0,0,0,149,6,4,29,4,22,22,18,3,8,1,4,0,8,8,12,9,9,9,8,0,1
E05013715,14787,12666,2,1,1,0,0,0,0,0,0,236,94,149,526,66,87,131,4,14,22,19,9,14,47,23,30,18,13,15,5,0,3,6,126,93,9,11,1,12,0,0,0,49,114,31,57,0,14,19,15,9,258,15,17,1,0,27,12,3,13,121,2,3,33,11,290,40,43,113,32,8,31,11,1,9,2,0,0,0,0,0,170,7,3,22,3,10,26,9,28,9,7,4,19,11,7,5,14,14,4,4,0,0
E05013716,15857,13153,4,7,6,0,0,0,0,1,0,323,157,240,795,131,131,207,14,13,21,42,6,52,31,35,30,35,14,20,4,3,1,5,66,24,12,8,0,22,0,0,0,58,107,48,74,2,6,20,40,6,227,28,39,3,7,40,13,2,15,58,5,3,6,8,367,36,44,123,68,22,49,9,11,3,2,0,0,4,2,2,201,6,10,37,0,24,44,21,6,1,0,6,8,13,15,10,16,16,10,10,0,0
E05013717,15437,13130,2,3,0,0,0,1,0,0,2,136,92,65,479,92,40,164,4,12,30,64,6,14,9,29,4,1,4,2,2,0,1,1,87,69,4,9,0,5,0,0,0,100,177,33,96,0,17,47,23,9,662,46,2,23,11,48,21,0,2,473,1,21,7,7,149,10,22,52,4,8,30,11,5,6,1,0,0,3,3,0,198,4,4,47,1,20,53,24,2,3,5,10,3,6,6,10,13,13,12,8,3,1
E05013718,14150,12216,4,7,6,0,0,1,0,0,0,163,71,145,688,120,69,289,9,15,43,33,1,23,16,22,18,16,5,3,4,0,1,1,41,26,5,3,0,7,0,0,0,23,131,49,50,5,5,22,12,6,245,47,20,17,5,20,19,0,0,89,21,4,2,1,167,37,12,33,29,0,24,19,2,10,1,1,0,4,4,0,123,2,4,14,3,19,19,13,7,3,3,10,13,7,1,5,10,10,12,9,0,3
E05013719,13767,10224,0,7,4,0,0,3,0,0,0,330,174,193,662,105,46,187,25,11,36,73,23,35,22,24,23,25,11,9,3,0,2,2,99,62,17,5,1,14,0,0,0,57,94,99,154,9,45,70,21,9,307,33,12,15,0,87,26,1,3,97,0,5,15,13,895,83,121,357,23,8,251,7,8,23,14,0,0,2,1,1,446,13,11,126,5,50,85,54,14,7,11,0,5,24,19,22,19,19,5,5,0,0
E05013720,16008,14166,0,7,1,0,0,2,0,4,0,106,69,67,404,36,32,143,13,9,38,71,12,9,16,11,10,2,1,0,1,0,0,0,55,48,0,5,0,2,0,0,0,36,172,54,71,1,24,33,9,4,463,17,3,9,0,38,16,0,2,359,11,5,1,2,103,7,10,34,8,5,10,9,1,14,5,0,0,1,1,0,209,0,0,24,5,31,33,36,14,16,2,6,6,17,9,10,13,13,12,9,2,1
E05013721,10434,7648,1,0,0,0,0,0,0,0,0,282,180,171,596,117,46,187,15,13,29,63,12,25,23,29,8,14,3,3,6,0,0,3,82,64,6,5,0,7,1,1,0,82,75,56,92,3,15,41,22,11,181,13,17,0,0,43,15,2,2,66,7,10,2,4,561,23,73,202,10,34,174,18,5,16,6,0,0,1,1,0,406,5,6,107,15,60,73,21,12,6,7,13,28,20,22,11,14,14,5,5,0,0
E05013722,14069,11998,2,0,0,0,0,0,0,0,0,210,92,104,733,82,55,233,24,16,29,38,6,37,106,43,27,10,9,9,1,0,2,6,85,69,6,3,0,7,0,0,0,33,78,50,64,1,13,29,11,10,179,28,4,12,0,20,20,2,1,86,1,3,1,1,208,20,43,43,43,6,17,8,6,21,1,0,0,0,0,0,218,7,4,34,7,36,29,11,7,8,9,21,12,8,10,15,3,3,12,11,1,0
E05013723,14268,12317,6,0,0,0,0,0,0,0,0,135,87,75,525,34,23,174,15,10,30,137,10,12,38,17,8,5,4,2,2,1,2,1,74,60,5,1,4,4,0,0,0,34,170,45,82,0,9,55,10,8,396,24,16,21,0,34,22,5,20,226,8,7,10,3,120,13,21,32,8,3,19,12,1,9,2,0,0,0,0,0,187,2,1,16,2,35,37,22,7,2,3,21,8,10,3,18,9,9,6,5,1,0
E05013724,18189,15322,0,3,2,0,0,0,1,0,0,281,109,122,600,62,47,276,7,8,45,60,16,13,9,17,19,5,5,6,0,0,3,2,83,56,16,4,0,7,1,1,0,80,180,55,127,0,20,44,43,20,660,36,8,31,0,31,26,0,5,491,5,16,8,3,222,12,38,77,20,9,17,11,5,27,6,1,0,0,0,0,307,11,5,52,1,24,62,38,5,19,13,16,4,12,18,27,22,22,14,8,5,1
E05013725,15439,12444,1,4,0,0,0,0,0,3,1,247,96,165,959,91,59,389,18,7,53,101,13,29,113,21,20,30,8,2,5,0,0,0,91,75,2,10,1,3,0,0,0,62,130,63,68,7,15,24,17,5,478,68,30,16,0,31,29,1,4,253,4,18,21,3,329,30,23,174,14,5,41,10,9,10,13,0,0,2,2,0,279,4,4,47,4,16,17,23,4,29,17,6,11,62,21,14,13,13,8,5,1,2
E05013726,13860,11813,3,0,0,0,0,0,0,0,0,159,94,158,565,81,50,193,9,11,18,74,8,24,22,29,15,9,9,3,1,2,4,3,43,31,8,2,0,2,0,0,0,49,117,46,63,0,5,34,8,16,324,18,10,19,0,45,28,1,2,170,2,19,8,2,235,18,24,104,16,2,41,12,1,15,2,0,0,1,1,0,164,2,6,37,1,17,34,12,4,5,5,2,3,19,10,7,14,14,12,9,0,3
