MSOA11CD,WD22NM_proposed,WD22CD_proposed
E02006784,Downham,E05013720
E02006783,Downham,E05013720
E02000666,Ladywell,E05013725
E02000663,Ladywell,E05013725
E02000667,Crofton Park,E05013718
E02000671,Crofton Park,E05013718
E02000664,Lewisham Central,E05013727
E02000665,Lee Green,E05013726
E02000668,Lee Green,E05013726
E02000662,Telegraph Hill,E05013732
E02000658,Telegraph Hill,E05013732
E02000660,Brockley,E05013716
E02000657,Brockley,E05013716
E02000661,Blackheath,E05013715
E02000659,Blackheath,E05013715
E02000669,Hither Green,E05013724
E02000678,Hither Green,E05013724
E02006798,Deptford,E05013719
E02000654,Deptford,E05013719
E02000676,Perry Vale,E05013729
E02000679,Perry Vale,E05013729
E02000681,Perry Vale,E05013729
E02000677,Catford South,E05013717
E02000674,Catford South,E05013717
E02000682,Catford South,E05013717
E02000675,Grove Park,E05013723
E02000683,Grove Park,E05013723
E02000672,Rushey Green,E05013730
E02000670,Rushey Green,E05013730
E02000673,Forest Hill,E05013722
E02000680,Forest Hill,E05013722
E02000655,New Cross Gate,E05013728
E02000653,Evelyn,E05013721
E02000687,Sydenham,E05013731
E02000685,Sydenham,E05013731
E02000686,Bellingham,E05013714
