Postcode7,Postcode8,PostcodeNatural,IntroductionDate,TerminationDate,Usertype,OA11CD,LSOA11CD,MSOA11CD,LAD19CD,WD22CD_proposed
BR1 4BY,BR1  4BY,BR1 4BY,198001,,0,E00016368,E01003235,E02006784,E09000023,E05013720
BR1 4DN,BR1  4DN,BR1 4DN,198001,,0,E00016367,E01003235,E02006784,E09000023,E05013720
BR1 4EY,BR1  4EY,BR1 4EY,198001,,0,E00165789,E01032565,E02006784,E09000023,E05013720
BR1 4FD,BR1  4FD,BR1 4FD,201001,,0,E00016361,E01003235,E02006784,E09000023,E05013720
BR1 4JG,BR1  4JG,BR1 4JG,198001,,0,E00016366,E01003235,E02006784,E09000023,E05013720
BR1 4JL,BR1  4JL,BR1 4JL,198001,,0,E00016368,E01003235,E02006784,E09000023,E05013720
BR1 4JN,BR1  4JN,BR1 4JN,198001,,0,E00016367,E01003235,E02006784,E09000023,E05013720
BR1 4JP,BR1  4JP,BR1 4JP,199906,,0,E00016365,E01032565,E02006784,E09000023,E05013720
BR1 4JQ,BR1  4JQ,BR1 4JQ,198001,,0,E00016366,E01003235,E02006784,E09000023,E05013720
BR1 4JS,BR1  4JS,BR1 4JS,200604,,1,E00165789,E01032565,E02006784,E09000023,E05013720
BR1 4JT,BR1  4JT,BR1 4JT,198001,,0,E00016366,E01003235,E02006784,E09000023,E05013720
BR1 4JU,BR1  4JU,BR1 4JU,198001,,0,E00016366,E01003235,E02006784,E09000023,E05013720
BR1 4JW,BR1  4JW,BR1 4JW,198001,,0,E00016361,E01003235,E02006784,E09000023,E05013720
BR1 4JX,BR1  4JX,BR1 4JX,198001,,0,E00016361,E01003235,E02006784,E09000023,E05013720
BR1 4JY,BR1  4JY,BR1 4JY,198001,,0,E00016361,E01003235,E02006784,E09000023,E05013720
BR1 4JZ,BR1  4JZ,BR1 4JZ,198001,,0,E00016346,E01003243,E02006784,E09000023,E05013720
BR1 4LA,BR1  4LA,BR1 4LA,198001,,0,E00016346,E01003243,E02006784,E09000023,E05013720
BR1 4LB,BR1  4LB,BR1 4LB,198001,,0,E00016358,E01003243,E02006784,E09000023,E05013720
BR1 4LE,BR1  4LE,BR1 4LE,198001,,0,E00016357,E01003243,E02006784,E09000023,E05013720
BR1 4LF,BR1  4LF,BR1 4LF,198001,,0,E00016357,E01003243,E02006784,E09000023,E05013720
BR1 4LG,BR1  4LG,BR1 4LG,198001,,0,E00016357,E01003243,E02006784,E09000023,E05013720
BR1 4LH,BR1  4LH,BR1 4LH,198001,,0,E00016359,E01003241,E02006784,E09000023,E05013720
BR1 4LJ,BR1  4LJ,BR1 4LJ,198001,,0,E00016359,E01003241,E02006784,E09000023,E05013720
BR1 4LL,BR1  4LL,BR1 4LL,198001,,0,E00016359,E01003241,E02006784,E09000023,E05013720
BR1 4LN,BR1  4LN,BR1 4LN,198001,,0,E00016357,E01003243,E02006784,E09000023,E05013720
BR1 4LP,BR1  4LP,BR1 4LP,198001,,0,E00016391,E01003243,E02006784,E09000023,E05013720
BR1 4LQ,BR1  4LQ,BR1 4LQ,198001,,0,E00016391,E01003243,E02006784,E09000023,E05013720
BR1 4LR,BR1  4LR,BR1 4LR,198001,,0,E00016357,E01003243,E02006784,E09000023,E05013720
BR1 4LS,BR1  4LS,BR1 4LS,198001,,0,E00016357,E01003243,E02006784,E09000023,E05013720
BR1 4LT,BR1  4LT,BR1 4LT,198001,,0,E00016357,E01003243,E02006784,E09000023,E05013720
BR1 4LU,BR1  4LU,BR1 4LU,200012,,0,E00016357,E01003243,E02006784,E09000023,E05013720
BR1 4LW,BR1  4LW,BR1 4LW,198001,,0,E00016357,E01003243,E02006784,E09000023,E05013720
BR1 4LX,BR1  4LX,BR1 4LX,199002,,0,E00016358,E01003243,E02006784,E09000023,E05013720
BR1 4LY,BR1  4LY,BR1 4LY,198001,,0,E00016357,E01003243,E02006784,E09000023,E05013720
BR1 4LZ,BR1  4LZ,BR1 4LZ,198001,,0,E00016357,E01003243,E02006784,E09000023,E05013720
BR1 4NA,BR1  4NA,BR1 4NA,198001,,0,E00016361,E01003235,E02006784,E09000023,E05013720
BR1 4NB,BR1  4NB,BR1 4NB,198001,,0,E00016363,E01003235,E02006784,E09000023,E05013720
BR1 4ND,BR1  4ND,BR1 4ND,198001,,0,E00016364,E01032565,E02006784,E09000023,E05013720
BR1 4NE,BR1  4NE,BR1 4NE,198001,,0,E00016392,E01003240,E02006784,E09000023,E05013720
BR1 4NF,BR1  4NF,BR1 4NF,198001,,0,E00016360,E01003240,E02006784,E09000023,E05013720
BR1 4NG,BR1  4NG,BR1 4NG,198001,,0,E00016360,E01003240,E02006784,E09000023,E05013720
BR1 4NH,BR1  4NH,BR1 4NH,198001,,0,E00016363,E01003235,E02006784,E09000023,E05013720
BR1 4NJ,BR1  4NJ,BR1 4NJ,198001,,0,E00016364,E01032565,E02006784,E09000023,E05013720
BR1 4NL,BR1  4NL,BR1 4NL,198001,,0,E00016364,E01032565,E02006784,E09000023,E05013720
BR1 4NN,BR1  4NN,BR1 4NN,198001,,0,E00016362,E01032565,E02006784,E09000023,E05013720
BR1 4NP,BR1  4NP,BR1 4NP,198001,,0,E00016362,E01032565,E02006784,E09000023,E05013720
BR1 4NQ,BR1  4NQ,BR1 4NQ,198001,,0,E00016362,E01032565,E02006784,E09000023,E05013720
BR1 4NR,BR1  4NR,BR1 4NR,198001,,0,E00165789,E01032565,E02006784,E09000023,E05013720
BR1 4NS,BR1  4NS,BR1 4NS,198001,,0,E00165789,E01032565,E02006784,E09000023,E05013720
BR1 4NT,BR1  4NT,BR1 4NT,198001,,0,E00165789,E01032565,E02006784,E09000023,E05013720
BR1 4NU,BR1  4NU,BR1 4NU,198001,,0,E00016365,E01032565,E02006784,E09000023,E05013720
BR1 4NW,BR1  4NW,BR1 4NW,198001,,0,E00016365,E01032565,E02006784,E09000023,E05013720
BR1 4PA,BR1  4PA,BR1 4PA,198001,,0,E00016354,E01003243,E02006784,E09000023,E05013720
BR1 4PB,BR1  4PB,BR1 4PB,198001,,0,E00016354,E01003243,E02006784,E09000023,E05013720
BR1 4PD,BR1  4PD,BR1 4PD,198001,,0,E00016346,E01003243,E02006784,E09000023,E05013720
BR1 4PE,BR1  4PE,BR1 4PE,198001,,0,E00016363,E01003235,E02006784,E09000023,E05013720
BR1 4PF,BR1  4PF,BR1 4PF,198001,,0,E00016363,E01003235,E02006784,E09000023,E05013720
BR1 4PG,BR1  4PG,BR1 4PG,200706,,0,E00016360,E01003240,E02006784,E09000023,E05013720
BR1 4PH,BR1  4PH,BR1 4PH,198001,,0,E00016358,E01003243,E02006784,E09000023,E05013720
BR1 4PJ,BR1  4PJ,BR1 4PJ,198001,,0,E00016390,E01003240,E02006784,E09000023,E05013720
BR1 4PL,BR1  4PL,BR1 4PL,198001,,0,E00016390,E01003240,E02006784,E09000023,E05013720
BR1 4PN,BR1  4PN,BR1 4PN,198001,200903.0,1,E00016354,E01003243,E02006784,E09000023,E05013720
BR1 4PP,BR1  4PP,BR1 4PP,198001,,0,E00016358,E01003243,E02006784,E09000023,E05013720
BR1 4PQ,BR1  4PQ,BR1 4PQ,198001,,0,E00016354,E01003243,E02006784,E09000023,E05013720
BR1 4PR,BR1  4PR,BR1 4PR,198001,,1,E00016358,E01003243,E02006784,E09000023,E05013720
BR1 4PS,BR1  4PS,BR1 4PS,200706,200707.0,0,E00016354,E01003243,E02006784,E09000023,E05013720
BR1 4PT,BR1  4PT,BR1 4PT,198001,200006.0,1,E00016358,E01003243,E02006784,E09000023,E05013720
BR1 4PW,BR1  4PW,BR1 4PW,198001,,1,E00016354,E01003243,E02006784,E09000023,E05013720
BR1 4QB,BR1  4QB,BR1 4QB,198001,,0,E00016393,E01032564,E02006783,E09000023,E05013720
BR1 4QD,BR1  4QD,BR1 4QD,198001,,0,E00016393,E01032564,E02006783,E09000023,E05013720
BR1 4QE,BR1  4QE,BR1 4QE,198001,,0,E00165790,E01032564,E02006783,E09000023,E05013720
BR1 4QG,BR1  4QG,BR1 4QG,198001,,0,E00016393,E01032564,E02006783,E09000023,E05013720
BR1 4QH,BR1  4QH,BR1 4QH,198001,,0,E00016353,E01003240,E02006784,E09000023,E05013720
BR1 4QJ,BR1  4QJ,BR1 4QJ,198001,,0,E00016353,E01003240,E02006784,E09000023,E05013720
BR1 4QL,BR1  4QL,BR1 4QL,198001,,0,E00016356,E01032564,E02006783,E09000023,E05013720
BR1 4QN,BR1  4QN,BR1 4QN,198001,,0,E00016356,E01032564,E02006783,E09000023,E05013720
BR1 4QP,BR1  4QP,BR1 4QP,198001,,0,E00165790,E01032564,E02006783,E09000023,E05013720
BR1 4QQ,BR1  4QQ,BR1 4QQ,198001,,0,E00016393,E01032564,E02006783,E09000023,E05013720
BR1 4QW,BR1  4QW,BR1 4QW,198001,,0,E00165790,E01032564,E02006783,E09000023,E05013720
BR1 4RF,BR1  4RF,BR1 4RF,198001,,0,E00016356,E01032564,E02006783,E09000023,E05013720
BR1 4RG,BR1  4RG,BR1 4RG,198001,,0,E00016394,E01032565,E02006784,E09000023,E05013720
BR1 4RH,BR1  4RH,BR1 4RH,198001,,0,E00016356,E01032564,E02006783,E09000023,E05013720
BR1 4RJ,BR1  4RJ,BR1 4RJ,198001,,0,E00016394,E01032565,E02006784,E09000023,E05013720
BR1 4RL,BR1  4RL,BR1 4RL,198001,,0,E00016392,E01003240,E02006784,E09000023,E05013720
BR1 4RN,BR1  4RN,BR1 4RN,198001,,0,E00016353,E01003240,E02006784,E09000023,E05013720
BR1 4RP,BR1  4RP,BR1 4RP,198001,,1,E00016394,E01032565,E02006784,E09000023,E05013720
BR1 4RQ,BR1  4RQ,BR1 4RQ,198001,,0,E00016394,E01032565,E02006784,E09000023,E05013720
BR1 4RR,BR1  4RR,BR1 4RR,198001,,0,E00016392,E01003240,E02006784,E09000023,E05013720
BR1 4RS,BR1  4RS,BR1 4RS,198001,,0,E00016392,E01003240,E02006784,E09000023,E05013720
BR1 4RW,BR1  4RW,BR1 4RW,198001,,0,E00016353,E01003240,E02006784,E09000023,E05013720
BR1 4SG,BR1  4SG,BR1 4SG,198001,,0,E00016352,E01003237,E02006783,E09000023,E05013720
BR1 4SN,BR1  4SN,BR1 4SN,199712,,0,E00016393,E01032564,E02006783,E09000023,E05013720
BR1 4TA,BR1  4TA,BR1 4TA,198001,,0,E00016368,E01003235,E02006784,E09000023,E05013720
BR1 4TB,BR1  4TB,BR1 4TB,198001,,0,E00016368,E01003235,E02006784,E09000023,E05013720
BR1 4TD,BR1  4TD,BR1 4TD,200709,,0,E00016360,E01003240,E02006784,E09000023,E05013720
BR1 4TF,BR1  4TF,BR1 4TF,200710,,0,E00016360,E01003240,E02006784,E09000023,E05013720
BR1 4TG,BR1  4TG,BR1 4TG,198803,199212.0,1,E00016361,E01003235,E02006784,E09000023,E05013720
BR1 4TH,BR1  4TH,BR1 4TH,198001,200006.0,1,E00016361,E01003235,E02006784,E09000023,E05013720
BR1 4TL,BR1  4TL,BR1 4TL,200711,,0,E00016360,E01003240,E02006784,E09000023,E05013720
BR1 4TN,BR1  4TN,BR1 4TN,200707,,0,E00016360,E01003240,E02006784,E09000023,E05013720
BR1 4TP,BR1  4TP,BR1 4TP,198106,199501.0,1,E00016361,E01003235,E02006784,E09000023,E05013720
BR1 4TQ,BR1  4TQ,BR1 4TQ,200707,,0,E00016354,E01003243,E02006784,E09000023,E05013720
BR1 4TR,BR1  4TR,BR1 4TR,198604,199112.0,1,E00016971,E01003348,E02000682,E09000023,E05013717
BR1 4TS,BR1  4TS,BR1 4TS,200807,,0,E00016368,E01003235,E02006784,E09000023,E05013720
BR1 5DR,BR1  5DR,BR1 5DR,198001,,0,E00016378,E01003237,E02006783,E09000023,E05013720
BR1 5DS,BR1  5DS,BR1 5DS,198001,,0,E00016370,E01003236,E02006783,E09000023,E05013723
BR1 5DT,BR1  5DT,BR1 5DT,198001,,0,E00016350,E01003236,E02006783,E09000023,E05013720
BR1 5DU,BR1  5DU,BR1 5DU,198001,,0,E00016374,E01003236,E02006783,E09000023,E05013720
BR1 5DX,BR1  5DX,BR1 5DX,198001,,0,E00016374,E01003236,E02006783,E09000023,E05013720
BR1 5DY,BR1  5DY,BR1 5DY,198001,,0,E00016378,E01003237,E02006783,E09000023,E05013720
BR1 5DZ,BR1  5DZ,BR1 5DZ,198001,,0,E00016378,E01003237,E02006783,E09000023,E05013720
BR1 5EA,BR1  5EA,BR1 5EA,198001,,0,E00016378,E01003237,E02006783,E09000023,E05013720
BR1 5EB,BR1  5EB,BR1 5EB,198001,,1,E00016378,E01003237,E02006783,E09000023,E05013720
BR1 5EE,BR1  5EE,BR1 5EE,198001,,0,E00016381,E01003237,E02006783,E09000023,E05013720
BR1 5EF,BR1  5EF,BR1 5EF,198001,,0,E00016381,E01003237,E02006783,E09000023,E05013720
BR1 5EG,BR1  5EG,BR1 5EG,198001,,0,E00016381,E01003237,E02006783,E09000023,E05013720
BR1 5EH,BR1  5EH,BR1 5EH,198001,,0,E00016350,E01003236,E02006783,E09000023,E05013720
BR1 5EJ,BR1  5EJ,BR1 5EJ,198001,,0,E00016350,E01003236,E02006783,E09000023,E05013720
BR1 5EL,BR1  5EL,BR1 5EL,198001,,0,E00016387,E01032564,E02006783,E09000023,E05013720
BR1 5EN,BR1  5EN,BR1 5EN,198001,,0,E00016387,E01032564,E02006783,E09000023,E05013720
BR1 5EP,BR1  5EP,BR1 5EP,198001,,0,E00016382,E01003237,E02006783,E09000023,E05013720
BR1 5EQ,BR1  5EQ,BR1 5EQ,198001,,0,E00016374,E01003236,E02006783,E09000023,E05013720
