FID,OA11CD,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD20CD,LAD20NM,RGN20CD,RGN20NM
162801,E00016277,E01003220,Lewisham 022C,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162802,E00016278,E01003220,Lewisham 022C,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162803,E00016285,E01003220,Lewisham 022C,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162804,E00016257,E01003221,Lewisham 025C,E02000677,Lewisham 025,E09000023,Lewisham,E12000007,London
162805,E00016263,E01003221,Lewisham 025C,E02000677,Lewisham 025,E09000023,Lewisham,E12000007,London
162806,E00016265,E01003221,Lewisham 025C,E02000677,Lewisham 025,E09000023,Lewisham,E12000007,London
162807,E00016268,E01003221,Lewisham 025C,E02000677,Lewisham 025,E09000023,Lewisham,E12000007,London
162808,E00016291,E01003221,Lewisham 025C,E02000677,Lewisham 025,E09000023,Lewisham,E12000007,London
162809,E00016256,E01003222,Lewisham 022D,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162810,E00016284,E01003222,Lewisham 022D,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162811,E00016286,E01003222,Lewisham 022D,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162812,E00016296,E01003222,Lewisham 022D,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162814,E00016143,E01003191,Lewisham 034C,E02000686,Lewisham 034,E09000023,Lewisham,E12000007,London
162815,E00016252,E01003210,Lewisham 005C,E02000657,Lewisham 005,E09000023,Lewisham,E12000007,London
162816,E00016308,E01003230,Lewisham 019E,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162817,E00016297,E01003222,Lewisham 022D,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162818,E00016264,E01003223,Lewisham 025D,E02000677,Lewisham 025,E09000023,Lewisham,E12000007,London
162819,E00016269,E01003223,Lewisham 025D,E02000677,Lewisham 025,E09000023,Lewisham,E12000007,London
162820,E00016270,E01003223,Lewisham 025D,E02000677,Lewisham 025,E09000023,Lewisham,E12000007,London
162821,E00016272,E01003223,Lewisham 025D,E02000677,Lewisham 025,E09000023,Lewisham,E12000007,London
162822,E00016273,E01003223,Lewisham 025D,E02000677,Lewisham 025,E09000023,Lewisham,E12000007,London
162823,E00016275,E01003224,Lewisham 022E,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162824,E00016279,E01003224,Lewisham 022E,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162825,E00016280,E01003224,Lewisham 022E,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162826,E00016283,E01003224,Lewisham 022E,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162827,E00016287,E01003224,Lewisham 022E,E02000674,Lewisham 022,E09000023,Lewisham,E12000007,London
162828,E00016335,E01003225,Lewisham 015A,E02000667,Lewisham 015,E09000023,Lewisham,E12000007,London
162829,E00016336,E01003225,Lewisham 015A,E02000667,Lewisham 015,E09000023,Lewisham,E12000007,London
162830,E00016339,E01003225,Lewisham 015A,E02000667,Lewisham 015,E09000023,Lewisham,E12000007,London
162831,E00016340,E01003225,Lewisham 015A,E02000667,Lewisham 015,E09000023,Lewisham,E12000007,London
162832,E00016341,E01003225,Lewisham 015A,E02000667,Lewisham 015,E09000023,Lewisham,E12000007,London
162833,E00016300,E01003226,Lewisham 019A,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162834,E00016310,E01003226,Lewisham 019A,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162835,E00016312,E01003226,Lewisham 019A,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162836,E00016343,E01003226,Lewisham 019A,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162837,E00016344,E01003226,Lewisham 019A,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162838,E00016301,E01003227,Lewisham 019B,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162839,E00016302,E01003227,Lewisham 019B,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162840,E00016316,E01003227,Lewisham 019B,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162841,E00016338,E01003227,Lewisham 019B,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162842,E00016342,E01003227,Lewisham 019B,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162843,E00016303,E01003228,Lewisham 019C,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162844,E00016304,E01003228,Lewisham 019C,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162845,E00016313,E01003228,Lewisham 019C,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162846,E00016318,E01003228,Lewisham 019C,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162847,E00016345,E01003228,Lewisham 019C,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162848,E00016307,E01003229,Lewisham 019D,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162849,E00016314,E01003229,Lewisham 019D,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162850,E00016319,E01003229,Lewisham 019D,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162851,E00016321,E01003229,Lewisham 019D,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162852,E00016322,E01003229,Lewisham 019D,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162853,E00016305,E01003230,Lewisham 019E,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162855,E00016206,E01003200,Lewisham 009B,E02000661,Lewisham 009,E09000023,Lewisham,E12000007,London
162856,E00016306,E01003230,Lewisham 019E,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162857,E00016384,E01003241,Lewisham 038C,E02006784,Lewisham 038,E09000023,Lewisham,E12000007,London
162860,E00016219,E01003211,Lewisham 008B,E02000660,Lewisham 008,E09000023,Lewisham,E12000007,London
162861,E00016315,E01003230,Lewisham 019E,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162862,E00016164,E01003201,Lewisham 007B,E02000659,Lewisham 007,E09000023,Lewisham,E12000007,London
162864,E00016147,E01003191,Lewisham 034C,E02000686,Lewisham 034,E09000023,Lewisham,E12000007,London
162865,E00016385,E01003241,Lewisham 038C,E02006784,Lewisham 038,E09000023,Lewisham,E12000007,London
162866,E00016220,E01003211,Lewisham 008B,E02000660,Lewisham 008,E09000023,Lewisham,E12000007,London
162868,E00016170,E01003201,Lewisham 007B,E02000659,Lewisham 007,E09000023,Lewisham,E12000007,London
162869,E00016317,E01003230,Lewisham 019E,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162871,E00016153,E01003191,Lewisham 034C,E02000686,Lewisham 034,E09000023,Lewisham,E12000007,London
162872,E00016386,E01003241,Lewisham 038C,E02006784,Lewisham 038,E09000023,Lewisham,E12000007,London
162873,E00016221,E01003211,Lewisham 008B,E02000660,Lewisham 008,E09000023,Lewisham,E12000007,London
162875,E00016175,E01003201,Lewisham 007B,E02000659,Lewisham 007,E09000023,Lewisham,E12000007,London
162876,E00016320,E01003230,Lewisham 019E,E02000671,Lewisham 019,E09000023,Lewisham,E12000007,London
162878,E00016141,E01003192,Lewisham 034D,E02000686,Lewisham 034,E09000023,Lewisham,E12000007,London
162879,E00016388,E01003241,Lewisham 038C,E02006784,Lewisham 038,E09000023,Lewisham,E12000007,London
162880,E00016223,E01003211,Lewisham 008B,E02000660,Lewisham 008,E09000023,Lewisham,E12000007,London
162882,E00016181,E01003201,Lewisham 007B,E02000659,Lewisham 007,E09000023,Lewisham,E12000007,London
162883,E00016309,E01003231,Lewisham 015B,E02000667,Lewisham 015,E09000023,Lewisham,E12000007,London
162885,E00016146,E01003192,Lewisham 034D,E02000686,Lewisham 034,E09000023,Lewisham,E12000007,London
162886,E00016346,E01003243,Lewisham 038D,E02006784,Lewisham 038,E09000023,Lewisham,E12000007,London
162887,E00016225,E01003211,Lewisham 008B,E02000660,Lewisham 008,E09000023,Lewisham,E12000007,London
162889,E00016182,E01003201,Lewisham 007B,E02000659,Lewisham 007,E09000023,Lewisham,E12000007,London
162890,E00016323,E01003231,Lewisham 015B,E02000667,Lewisham 015,E09000023,Lewisham,E12000007,London
162892,E00016148,E01003192,Lewisham 034D,E02000686,Lewisham 034,E09000023,Lewisham,E12000007,London
162893,E00016354,E01003243,Lewisham 038D,E02006784,Lewisham 038,E09000023,Lewisham,E12000007,London
162894,E00016255,E01003211,Lewisham 008B,E02000660,Lewisham 008,E09000023,Lewisham,E12000007,London
