FID,OA11CD,WD20CD,WD20NM,LAD20CD,LAD20NM
162824,E00016365,E05000442,Downham,E09000023,Lewisham
162828,E00016362,E05000442,Downham,E09000023,Lewisham
162829,E00016279,E05000440,Catford South,E09000023,Lewisham
162830,E00016132,E05000437,Bellingham,E09000023,Lewisham
162832,E00016217,E05000439,Brockley,E09000023,Lewisham
162833,E00016363,E05000442,Downham,E09000023,Lewisham
162835,E00016297,E05000440,Catford South,E09000023,Lewisham
162836,E00016178,E05000438,Blackheath,E09000023,Lewisham
162837,E00016133,E05000437,Bellingham,E09000023,Lewisham
162839,E00016214,E05000439,Brockley,E09000023,Lewisham
162840,E00016360,E05000442,Downham,E09000023,Lewisham
162842,E00016296,E05000440,Catford South,E09000023,Lewisham
162843,E00016179,E05000438,Blackheath,E09000023,Lewisham
162844,E00016197,E05000438,Blackheath,E09000023,Lewisham
162845,E00016196,E05000438,Blackheath,E09000023,Lewisham
162846,E00016195,E05000438,Blackheath,E09000023,Lewisham
162847,E00016194,E05000438,Blackheath,E09000023,Lewisham
162848,E00016193,E05000438,Blackheath,E09000023,Lewisham
162849,E00016192,E05000438,Blackheath,E09000023,Lewisham
162850,E00016191,E05000438,Blackheath,E09000023,Lewisham
162851,E00016190,E05000438,Blackheath,E09000023,Lewisham
162852,E00016199,E05000438,Blackheath,E09000023,Lewisham
162853,E00016198,E05000438,Blackheath,E09000023,Lewisham
162854,E00016166,E05000438,Blackheath,E09000023,Lewisham
162855,E00016167,E05000438,Blackheath,E09000023,Lewisham
162856,E00016164,E05000438,Blackheath,E09000023,Lewisham
162857,E00016165,E05000438,Blackheath,E09000023,Lewisham
162858,E00016162,E05000438,Blackheath,E09000023,Lewisham
162859,E00016163,E05000438,Blackheath,E09000023,Lewisham
162860,E00016160,E05000438,Blackheath,E09000023,Lewisham
162861,E00016161,E05000438,Blackheath,E09000023,Lewisham
162862,E00016168,E05000438,Blackheath,E09000023,Lewisham
162863,E00016169,E05000438,Blackheath,E09000023,Lewisham
162864,E00016159,E05000438,Blackheath,E09000023,Lewisham
162865,E00016187,E05000438,Blackheath,E09000023,Lewisham
162866,E00016186,E05000438,Blackheath,E09000023,Lewisham
162867,E00016185,E05000438,Blackheath,E09000023,Lewisham
162868,E00016184,E05000438,Blackheath,E09000023,Lewisham
162869,E00016183,E05000438,Blackheath,E09000023,Lewisham
162870,E00016182,E05000438,Blackheath,E09000023,Lewisham
162871,E00016181,E05000438,Blackheath,E09000023,Lewisham
162872,E00016180,E05000438,Blackheath,E09000023,Lewisham
162873,E00016189,E05000438,Blackheath,E09000023,Lewisham
162874,E00016188,E05000438,Blackheath,E09000023,Lewisham
162875,E00016206,E05000438,Blackheath,E09000023,Lewisham
162876,E00174027,E05000439,Brockley,E09000023,Lewisham
162877,E00174008,E05000439,Brockley,E09000023,Lewisham
162878,E00174015,E05000439,Brockley,E09000023,Lewisham
162879,E00174016,E05000439,Brockley,E09000023,Lewisham
162880,E00174013,E05000439,Brockley,E09000023,Lewisham
162881,E00173941,E05000439,Brockley,E09000023,Lewisham
162882,E00016227,E05000439,Brockley,E09000023,Lewisham
162883,E00016224,E05000439,Brockley,E09000023,Lewisham
162884,E00016225,E05000439,Brockley,E09000023,Lewisham
162885,E00016222,E05000439,Brockley,E09000023,Lewisham
162886,E00016223,E05000439,Brockley,E09000023,Lewisham
162887,E00016220,E05000439,Brockley,E09000023,Lewisham
162888,E00016221,E05000439,Brockley,E09000023,Lewisham
162889,E00016228,E05000439,Brockley,E09000023,Lewisham
162890,E00016229,E05000439,Brockley,E09000023,Lewisham
162891,E00016216,E05000439,Brockley,E09000023,Lewisham
162893,E00016130,E05000437,Bellingham,E09000023,Lewisham
162896,E00016368,E05000442,Downham,E09000023,Lewisham
162897,E00016131,E05000437,Bellingham,E09000023,Lewisham
162899,E00016215,E05000439,Brockley,E09000023,Lewisham
162901,E00016356,E05000442,Downham,E09000023,Lewisham
162902,E00016295,E05000440,Catford South,E09000023,Lewisham
162903,E00016138,E05000437,Bellingham,E09000023,Lewisham
162905,E00016212,E05000439,Brockley,E09000023,Lewisham
162906,E00016213,E05000439,Brockley,E09000023,Lewisham
162907,E00016210,E05000439,Brockley,E09000023,Lewisham
162908,E00016211,E05000439,Brockley,E09000023,Lewisham
162909,E00016218,E05000439,Brockley,E09000023,Lewisham
162910,E00016219,E05000439,Brockley,E09000023,Lewisham
