OA11CD,ActualWardName,ActualWard,LSOA11CD,AssignedWardName,AssignedWard,CorrectAssignment,PopEst2020
E00016403,Evelyn,E05013721,E01003244,Evelyn,E05013721,True,370
E00016442,Evelyn,E05013721,E01003244,Evelyn,E05013721,True,414
E00016407,Evelyn,E05013721,E01003248,Evelyn,E05013721,True,211
E00016404,Evelyn,E05013721,E01003247,Evelyn,E05013721,True,391
E00016402,Evelyn,E05013721,E01003248,Evelyn,E05013721,True,307
E00016408,Evelyn,E05013721,E01003247,Evelyn,E05013721,True,353
E00016409,Evelyn,E05013721,E01003248,Evelyn,E05013721,True,441
E00016397,Evelyn,E05013721,E01003250,Evelyn,E05013721,True,1379
E00016395,Evelyn,E05013721,E01003247,Evelyn,E05013721,True,571
E00016398,Evelyn,E05013721,E01003249,Evelyn,E05013721,True,265
E00173943,Evelyn,E05013721,E01003249,Evelyn,E05013721,True,372
E00016440,Evelyn,E05013721,E01003250,Evelyn,E05013721,True,377
E00016441,Evelyn,E05013721,E01003250,Evelyn,E05013721,True,396
E00016436,Evelyn,E05013721,E01003250,Evelyn,E05013721,True,386
E00016437,Evelyn,E05013721,E01003244,Evelyn,E05013721,True,502
E00016434,Evelyn,E05013721,E01003249,Evelyn,E05013721,True,412
E00016432,Evelyn,E05013721,E01003249,Evelyn,E05013721,True,407
E00016433,Evelyn,E05013721,E01003250,Evelyn,E05013721,True,1486
E00016431,Evelyn,E05013721,E01003249,Evelyn,E05013721,True,598
E00016438,Evelyn,E05013721,E01003247,Evelyn,E05013721,True,278
E00016439,Evelyn,E05013721,E01003244,Evelyn,E05013721,True,401
E00016426,Evelyn,E05013721,E01003253,Deptford,E05013719,False,295
E00016420,Evelyn,E05013721,E01003251,Evelyn,E05013721,True,437
E00016416,Evelyn,E05013721,E01003251,Evelyn,E05013721,True,367
E00016414,Evelyn,E05013721,E01003246,Deptford,E05013719,False,312
E00016415,Evelyn,E05013721,E01003251,Evelyn,E05013721,True,429
E00016412,Evelyn,E05013721,E01003246,Deptford,E05013719,False,409
E00016413,Evelyn,E05013721,E01003248,Evelyn,E05013721,True,357
E00016410,Evelyn,E05013721,E01003247,Evelyn,E05013721,True,344
E00016411,Evelyn,E05013721,E01003248,Evelyn,E05013721,True,391
E00016419,Evelyn,E05013721,E01003251,Evelyn,E05013721,True,441
E00016405,Evelyn,E05013721,E01003247,Evelyn,E05013721,True,355
E00173946,Evelyn,E05013721,E01003249,Evelyn,E05013721,True,52
E00174027,Brockley,E05013716,E01033325,Brockley,E05013716,True,201
E00174008,Brockley,E05013716,E01033325,Brockley,E05013716,True,281
E00174015,Brockley,E05013716,E01033325,Brockley,E05013716,True,328
E00174016,Brockley,E05013716,E01033324,Brockley,E05013716,True,249
E00174013,Brockley,E05013716,E01033325,Brockley,E05013716,True,265
E00173941,Brockley,E05013716,E01003215,Brockley,E05013716,True,553
E00016227,Brockley,E05013716,E01003213,Brockley,E05013716,True,461
E00016224,Brockley,E05013716,E01003213,Brockley,E05013716,True,293
E00016225,Brockley,E05013716,E01003211,Brockley,E05013716,True,238
E00016222,Brockley,E05013716,E01003213,Brockley,E05013716,True,339
E00016223,Brockley,E05013716,E01003211,Brockley,E05013716,True,228
