OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016115,326,12,20,27,21,22,16,14,18,21,20,29,26,26,15,20,10,4,5
E00016136,314,18,20,36,20,17,11,12,31,27,20,28,21,14,14,11,3,4,7
E00016137,404,30,49,42,28,27,17,23,24,31,26,30,25,19,10,5,11,3,4
E00016138,295,25,25,25,24,16,10,27,20,24,19,21,24,9,9,8,3,2,4
E00016139,352,24,40,33,28,19,17,20,23,30,17,34,19,20,10,11,3,4,0
E00016116,389,30,26,38,25,8,17,27,38,54,41,33,18,7,6,8,5,7,1
E00016129,359,33,31,37,20,15,19,50,35,40,29,9,19,7,4,5,5,1,0
E00016142,716,60,80,61,39,31,49,92,54,58,42,40,38,22,5,14,19,6,6
E00016144,346,43,40,29,13,15,22,36,21,28,21,20,18,18,12,5,4,1,0
E00016145,263,20,24,29,15,10,16,23,15,18,26,23,21,10,6,2,3,1,1
E00016150,345,37,38,36,21,16,19,22,27,17,34,23,26,15,4,3,4,2,1
E00016117,311,35,36,19,13,7,16,33,31,26,18,12,18,12,5,8,9,9,4
E00016132,324,32,38,16,15,11,17,34,36,21,25,16,26,12,6,10,5,1,3
E00016143,386,14,38,21,21,29,33,31,28,27,24,28,31,19,8,14,12,2,6
E00016147,322,23,35,17,6,11,22,23,32,22,26,18,39,15,10,6,6,4,7
E00016153,290,18,29,11,13,11,16,23,22,13,17,16,32,27,18,10,10,1,3
E00016141,289,22,19,26,16,18,23,19,18,17,26,20,16,11,11,11,5,8,3
E00016146,343,29,21,28,19,15,27,23,29,41,27,27,20,9,7,8,4,5,4
E00016148,299,26,22,24,18,13,20,19,21,27,14,23,17,15,15,13,4,4,4
E00016149,276,25,22,18,10,13,19,30,24,16,20,27,12,15,12,10,1,0,2
E00016151,289,16,31,21,16,12,19,19,27,28,22,17,21,13,8,6,0,13,0
E00016152,244,16,22,11,11,12,19,19,22,19,14,24,19,13,7,11,1,1,3
E00016126,335,20,18,20,23,13,14,24,16,30,22,28,20,18,17,29,9,8,6
E00016127,424,24,31,22,27,23,26,23,34,34,27,47,20,22,17,21,16,5,5
E00016131,349,36,28,28,18,14,27,27,33,33,18,23,22,9,7,9,9,5,3
E00016134,275,15,17,15,14,12,16,20,16,20,20,23,13,17,15,26,8,6,2
