LSOA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E01003189,855,52,74,73,53,44,40,58,63,65,47,75,63,44,32,31,14,8,19
E01003190,1264,128,88,91,61,68,92,161,84,100,113,80,71,49,23,16,24,8,7
E01003191,875,60,114,43,28,38,63,92,73,59,54,51,76,52,21,16,12,4,19
E01003192,903,72,65,59,43,46,82,70,78,87,65,45,44,40,28,31,9,26,13
E01003193,867,58,57,51,41,39,60,74,62,62,69,59,46,45,26,60,29,17,12
E01003194,975,59,53,58,45,41,68,73,74,85,87,63,77,44,44,33,17,20,34
E01003195,796,51,55,38,42,30,40,53,60,83,57,68,63,40,31,39,17,12,17
E01003196,924,44,79,90,61,31,30,54,100,87,54,61,52,64,27,17,23,34,16
E01003197,817,34,62,49,42,29,33,54,52,73,68,86,74,53,47,30,8,13,10
E01003198,814,61,56,56,32,22,50,70,78,82,59,60,30,27,24,35,34,17,21
E01003199,953,45,48,56,44,40,93,134,81,70,86,57,43,38,30,30,33,11,14
E01003200,798,62,57,33,13,37,87,86,71,57,63,53,47,24,27,24,23,20,14
E01003201,910,58,45,51,43,40,94,89,49,80,47,70,85,60,31,26,15,10,17
E01003202,841,51,48,35,21,20,75,63,84,77,67,55,45,20,36,48,26,37,33
E01003203,984,66,47,47,38,57,98,137,83,91,66,59,40,42,32,40,15,15,11
E01003204,894,84,60,37,52,50,109,92,81,61,46,53,48,52,18,16,11,10,14
E01003205,715,29,89,23,60,34,47,77,126,28,36,40,32,39,20,9,4,12,10
E01003206,828,75,44,28,25,30,111,107,85,49,47,53,52,23,25,25,10,10,29
E01003207,852,40,34,58,43,110,79,86,75,71,49,51,31,53,22,18,21,2,9
E01003209,1124,50,54,41,60,195,205,97,64,65,48,59,59,44,29,18,16,12,8
E01003210,969,58,34,58,25,62,126,142,121,107,63,53,31,32,18,18,8,3,10
E01003211,770,48,37,32,13,50,121,125,80,60,44,56,32,18,10,19,9,11,5
E01003212,1033,41,57,29,27,100,157,157,74,62,50,65,60,49,33,33,19,12,8
E01003213,1075,92,75,38,46,104,161,112,124,73,77,47,34,21,16,26,11,10,8
E01003214,1018,79,85,44,26,76,111,120,87,67,84,77,51,39,17,15,10,13,17
E01003215,1163,59,57,30,116,276,136,97,124,62,57,39,38,16,30,11,3,7,5
E01003216,985,58,88,50,45,42,62,86,88,91,78,51,117,32,47,15,9,9,17
E01003217,886,58,59,53,44,37,61,44,71,67,62,82,79,44,32,19,22,16,36
E01003218,854,51,44,56,70,42,41,51,68,86,53,65,72,42,36,21,14,19,23
E01003219,934,70,53,53,56,40,56,57,56,87,56,62,80,56,32,46,21,28,25
E01003220,918,52,35,35,65,50,55,77,101,68,56,55,78,76,30,28,15,13,29
E01003221,1055,56,89,50,42,63,61,85,89,110,58,70,59,69,42,35,20,22,35
E01003222,858,60,59,46,39,48,43,72,63,57,74,52,67,66,32,30,13,22,15
E01003223,845,27,63,31,47,47,66,72,45,59,56,65,73,57,33,37,25,18,24
E01003224,913,54,93,47,51,47,51,59,77,82,55,68,64,44,41,31,25,9,15
E01003225,810,61,65,51,28,19,42,77,90,82,56,48,52,36,29,28,15,16,15
E01003226,846,65,49,32,25,36,78,95,105,72,62,44,37,51,34,27,21,5,8
E01003227,853,61,55,53,32,33,47,70,97,84,77,55,37,48,44,21,18,17,4
E01003228,813,66,61,29,22,13,58,121,113,74,61,38,45,31,13,26,18,9,15
E01003229,878,55,55,62,22,27,64,90,86,80,75,55,50,62,21,15,24,15,20
E01003230,1046,91,64,67,41,37,90,118,120,92,66,85,64,35,32,17,14,9,4
E01003231,830,75,51,38,15,31,130,98,61,67,54,43,56,38,21,14,19,13,6
E01003232,1029,94,138,41,36,40,63,62,113,119,52,48,61,38,55,21,20,5,23
E01003233,866,81,63,51,34,36,51,71,89,78,70,51,61,36,23,28,18,16,9
E01003235,655,43,59,42,27,38,46,53,50,34,46,48,49,43,25,19,19,9,5
E01003236,852,43,62,68,69,29,51,58,99,52,80,59,54,53,30,17,8,12,8
