OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016115,162,5,8,16,15,8,7,6,10,13,8,13,13,13,7,10,3,2,5
E00016136,154,10,9,21,8,5,6,6,17,8,6,19,11,5,9,8,0,0,6
E00016137,211,14,31,13,11,11,11,15,16,18,13,14,12,9,8,3,6,2,4
E00016138,161,13,8,13,9,10,4,19,11,10,12,11,17,5,5,5,3,2,4
E00016139,167,10,18,10,10,10,12,12,9,16,8,18,10,12,3,5,2,2,0
E00016116,206,24,12,20,12,5,13,16,12,21,24,21,8,4,4,5,2,2,1
E00016129,193,18,10,16,11,12,14,32,11,18,19,4,12,5,3,3,4,1,0
E00016142,382,35,30,24,15,22,31,65,24,31,22,21,19,12,4,4,14,3,6
E00016144,169,17,10,7,8,9,13,22,11,14,12,11,11,15,6,1,1,1,0
E00016145,133,10,10,8,5,8,9,13,10,8,17,11,11,6,3,1,2,1,0
E00016150,181,24,16,16,10,12,12,13,16,8,19,12,10,7,3,2,1,0,0
E00016117,174,16,22,12,5,4,11,22,17,17,10,7,11,5,3,3,1,4,4
E00016132,162,17,27,7,4,3,10,25,14,12,12,7,12,3,2,3,2,0,2
E00016143,211,8,25,11,11,17,16,18,16,13,11,16,18,13,4,7,2,0,5
E00016147,173,13,22,5,2,8,18,13,12,12,12,9,19,12,4,1,6,0,5
E00016153,155,6,18,8,6,6,8,14,14,5,9,12,16,19,8,2,1,0,3
E00016141,147,13,10,13,6,9,13,11,11,9,10,3,8,7,6,5,3,7,3
E00016146,181,17,12,12,11,8,19,9,18,25,13,9,4,4,3,7,2,5,3
E00016148,161,11,8,13,7,7,16,12,8,17,10,11,7,7,8,9,3,3,4
E00016149,135,11,9,9,5,8,11,17,15,10,10,7,5,8,5,4,0,0,1
E00016151,157,8,17,7,8,6,12,9,15,17,14,7,11,6,6,4,0,10,0
E00016152,122,12,9,5,6,8,11,12,11,9,8,8,9,8,0,2,1,1,2
E00016126,169,7,7,10,9,5,8,11,7,14,15,12,14,12,7,14,5,6,6
E00016127,215,15,18,12,10,11,12,13,16,14,19,21,10,11,9,12,8,2,2
E00016131,180,14,11,14,9,9,20,15,18,12,11,9,12,5,1,5,7,5,3
E00016134,148,8,11,9,6,8,9,12,8,10,10,7,8,11,5,15,7,3,1
E00016140,155,14,10,6,7,6,11,23,13,12,14,10,2,6,4,14,2,1,0
