WD22CD_proposed,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E05013714,6014,409,500,432,309,273,365,511,476,507,433,426,414,325,193,153,99,99,90
E05013715,8658,586,538,406,371,377,885,951,815,648,582,547,469,373,274,271,202,161,202
E05013716,9508,562,470,341,410,1181,1348,1185,910,635,549,515,394,307,221,185,117,90,88
E05013717,8954,515,656,557,489,429,536,622,668,747,611,603,698,484,401,307,201,195,235
E05013718,7971,649,601,424,255,272,623,802,874,748,573,467,463,375,272,197,167,105,104
E05013719,7764,393,429,441,421,764,926,934,652,522,503,462,432,321,188,127,121,53,75
E05013720,9525,559,646,768,618,427,548,713,849,709,713,692,656,461,333,248,198,175,212
E05013721,7130,447,426,402,318,538,975,1027,692,524,416,343,346,205,118,137,97,63,56
E05013722,7982,589,568,468,288,297,645,880,766,682,636,521,462,325,267,202,147,131,108
E05013723,7962,558,472,433,395,371,540,629,723,635,582,529,531,449,318,260,178,160,199
E05013724,10378,727,616,579,598,522,760,939,1009,884,696,685,749,537,303,273,174,152,175
E05013725,8486,537,491,433,369,626,817,834,775,649,590,588,485,326,318,182,178,150,138
E05013726,7855,558,501,452,308,328,553,696,761,712,603,500,503,355,306,241,184,150,144
E05013727,4088,293,157,165,146,429,711,609,427,300,225,174,135,107,82,43,42,20,23
E05013728,4936,272,327,328,275,412,530,516,465,433,345,273,256,170,110,65,64,51,44
E05013729,9732,618,680,571,389,458,618,994,990,815,773,642,623,439,357,287,185,146,147
E05013730,9340,714,645,490,459,403,779,958,898,790,635,632,588,418,254,184,140,157,196
E05013731,8828,575,538,579,388,365,590,799,841,712,635,632,565,434,321,291,192,183,188
E05013732,8725,546,567,491,340,687,918,954,786,649,533,546,514,423,296,165,112,97,101
