LSOA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E01003189,836,57,80,90,68,57,31,38,53,68,55,67,52,44,26,24,16,9,1
E01003190,1154,95,151,139,72,27,50,89,106,115,80,68,69,30,14,21,16,10,2
E01003191,758,62,62,41,40,31,41,52,76,50,56,39,70,33,26,32,30,13,4
E01003192,837,62,72,69,47,37,45,59,63,61,58,93,61,36,32,28,6,5,3
E01003193,839,59,66,55,57,36,51,54,63,86,42,83,44,33,38,43,17,8,4
E01003194,901,54,64,89,60,36,41,67,80,77,67,63,52,47,35,28,24,11,6
E01003195,800,74,49,67,37,46,43,31,78,68,66,71,63,26,21,20,20,13,7
E01003196,909,73,86,113,58,43,36,60,73,71,50,66,61,47,21,14,11,12,14
E01003197,817,49,78,80,49,38,45,43,84,55,39,70,62,55,21,14,19,11,5
E01003198,671,51,37,39,34,20,53,57,75,50,63,57,27,25,25,26,12,11,9
E01003199,967,57,52,40,28,41,95,124,115,79,70,88,50,26,40,31,16,11,4
E01003200,886,53,49,32,23,71,108,72,97,69,77,59,54,38,21,25,13,17,8
E01003201,852,53,47,52,56,39,83,106,73,67,63,47,50,44,23,12,19,5,13
E01003202,741,44,27,41,25,17,55,64,59,92,77,45,53,18,23,35,16,28,22
E01003203,1092,55,46,38,38,54,84,122,142,123,77,86,65,58,40,18,19,19,8
E01003204,830,43,59,44,52,38,68,125,103,61,60,62,23,23,16,27,11,8,7
E01003205,692,62,72,42,98,40,51,51,58,36,44,17,27,21,19,17,16,10,11
E01003206,844,60,48,30,38,15,47,124,91,94,71,61,38,36,26,22,8,25,10
E01003207,916,49,46,50,54,81,86,123,72,73,60,38,43,34,34,22,25,5,21
E01003209,967,56,50,43,43,99,202,73,86,53,72,70,33,28,17,14,7,10,11
E01003210,1031,75,51,41,36,42,111,162,132,125,87,53,42,25,16,18,3,6,6
E01003211,763,60,52,32,17,45,69,114,104,66,54,39,26,38,12,12,9,8,6
E01003212,1066,59,61,59,39,80,128,167,94,82,49,59,50,54,26,22,14,13,10
E01003213,997,66,58,41,27,55,95,164,151,98,64,55,33,24,24,14,22,3,3
E01003214,869,48,74,45,43,45,89,92,85,64,86,70,34,38,24,11,5,10,6
E01003215,977,81,32,21,64,209,165,90,106,62,32,32,26,18,9,16,6,4,4
E01003216,981,80,80,59,81,51,50,59,61,94,78,93,61,54,32,17,10,16,5
E01003217,752,84,56,51,47,37,33,59,56,61,62,50,51,31,23,17,9,17,8
E01003218,803,61,79,48,58,47,34,49,70,79,69,53,51,30,30,20,10,9,6
E01003219,785,66,43,51,48,68,49,38,67,56,72,46,64,31,20,28,12,15,11
E01003220,866,63,43,46,34,44,46,86,114,94,63,45,55,41,23,23,14,25,7
E01003221,1106,123,82,63,59,61,62,86,106,100,84,52,60,61,43,27,10,11,16
E01003222,877,43,74,49,63,46,49,75,75,87,62,68,79,41,27,15,10,8,6
E01003223,845,60,38,52,44,57,58,40,47,63,71,61,69,52,24,37,28,19,25
E01003224,863,86,52,70,72,34,44,63,70,74,65,62,58,42,28,17,16,5,5
E01003225,792,71,93,49,21,20,30,45,105,97,59,55,45,35,22,13,19,8,5
E01003226,879,88,70,33,28,60,63,83,118,96,64,40,40,36,28,19,4,5,4
E01003227,857,65,45,45,31,38,61,99,92,82,69,59,46,40,27,17,12,14,15
E01003228,755,71,63,17,17,11,40,102,108,95,71,50,31,18,16,18,10,10,7
E01003229,798,42,50,32,56,48,56,76,74,66,61,63,45,44,22,25,20,7,11
E01003230,979,78,91,35,48,46,71,142,105,86,53,63,59,20,25,22,18,7,10
E01003231,764,42,57,35,32,48,109,77,78,75,52,46,37,23,20,9,11,4,9
E01003232,825,66,51,40,28,36,54,51,116,75,50,82,58,40,21,24,14,7,12
E01003233,919,52,71,46,30,27,55,82,112,155,64,54,44,46,28,9,17,14,13
E01003235,660,32,57,36,36,37,58,54,44,47,50,50,42,29,33,21,15,5,14
E01003236,839,85,57,67,46,42,42,41,108,86,56,58,43,28,17,22,18,16,7
E01003237,781,76,94,63,51,37,29,46,51,48,65,55,48,45,30,11,12,6,14
E01003238,633,35,69,60,50,20,32,50,62,55,41,40,47,25,8,15,8,11,5
E01003239,699,48,48,71,46,43,33,53,52,45,67,62,46,34,16,16,11,3,5
E01003240,904,57,89,74,54,53,49,64,92,85,62,55,46,42,15,32,12,11,12
E01003241,800,24,45,48,29,30,36,44,76,70,53,79,49,49,50,37,37,27,17
E01003243,711,43,72,50,32,66,34,52,64,64,52,43,46,29,16,16,19,6,7
E01003244,854,54,91,84,42,85,60,57,65,58,78,59,40,48,8,10,9,5,1
E01003245,908,64,74,78,102,56,115,109,78,48,39,38,34,31,30,3,2,1,6
E01003246,963,40,58,76,49,94,95,145,111,51,42,72,52,39,15,5,4,10,5
E01003247,1199,56,32,30,24,102,229,234,152,88,72,48,65,32,9,13,2,1,10
E01003248,840,46,74,59,38,61,102,88,74,58,79,46,30,42,14,20,5,2,2
E01003249,1117,42,56,34,45,93,150,160,139,117,65,69,50,28,24,29,8,1,7
