OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016115,164,7,12,11,6,14,9,8,8,8,12,16,13,13,8,10,7,2,0
E00016136,160,8,11,15,12,12,5,6,14,19,14,9,10,9,5,3,3,4,1
E00016137,193,16,18,29,17,16,6,8,8,13,13,16,13,10,2,2,5,1,0
E00016138,134,12,17,12,15,6,6,8,9,14,7,10,7,4,4,3,0,0,0
E00016139,185,14,22,23,18,9,5,8,14,14,9,16,9,8,7,6,1,2,0
E00016116,183,6,14,18,13,3,4,11,26,33,17,12,10,3,2,3,3,5,0
E00016129,166,15,21,21,9,3,5,18,24,22,10,5,7,2,1,2,1,0,0
E00016142,334,25,50,37,24,9,18,27,30,27,20,19,19,10,1,10,5,3,0
E00016144,177,26,30,22,5,6,9,14,10,14,9,9,7,3,6,4,3,0,0
E00016145,130,10,14,21,10,2,7,10,5,10,9,12,10,4,3,1,1,0,1
E00016150,164,13,22,20,11,4,7,9,11,9,15,11,16,8,1,1,3,2,1
E00016117,137,19,14,7,8,3,5,11,14,9,8,5,7,7,2,5,8,5,0
E00016132,162,15,11,9,11,8,7,9,22,9,13,9,14,9,4,7,3,1,1
E00016143,175,6,13,10,10,12,17,13,12,14,13,12,13,6,4,7,10,2,1
E00016147,149,10,13,12,4,3,4,10,20,10,14,9,20,3,6,5,0,4,2
E00016153,135,12,11,3,7,5,8,9,8,8,8,4,16,8,10,8,9,1,0
E00016141,142,9,9,13,10,9,10,8,7,8,16,17,8,4,5,6,2,1,0
E00016146,162,12,9,16,8,7,8,14,11,16,14,18,16,5,4,1,2,0,1
E00016148,138,15,14,11,11,6,4,7,13,10,4,12,10,8,7,4,1,1,0
E00016149,141,14,13,9,5,5,8,13,9,6,10,20,7,7,7,6,1,0,1
E00016151,132,8,14,14,8,6,7,10,12,11,8,10,10,7,2,2,0,3,0
E00016152,122,4,13,6,5,4,8,7,11,10,6,16,10,5,7,9,0,0,1
E00016126,166,13,11,10,14,8,6,13,9,16,7,16,6,6,10,15,4,2,0
E00016127,209,9,13,10,17,12,14,10,18,20,8,26,10,11,8,9,8,3,3
E00016131,169,22,17,14,9,5,7,12,15,21,7,14,10,4,6,4,2,0,0
E00016134,127,7,6,6,8,4,7,8,8,10,10,16,5,6,10,11,1,3,1
E00016140,168,8,19,15,9,7,17,11,13,19,10,11,13,6,4,4,2,0,0
E00016118,185,10,6,14,7,6,7,20,16,12,15,14,17,11,8,12,6,2,2
E00016154,143,13,8,22,5,4,5,8,9,18,5,6,7,7,9,5,9,2,1
E00016155,216,6,17,17,14,9,15,17,26,27,20,17,15,6,4,4,0,1,1
E00016156,154,12,17,10,9,7,9,9,11,10,12,11,4,11,9,6,5,2,0
E00016157,203,13,16,26,25,10,5,13,18,10,15,15,9,12,5,1,4,4,2
E00016112,173,19,18,15,9,9,10,7,17,12,15,11,6,7,4,6,2,2,4
E00016119,185,11,14,17,8,8,12,9,16,16,14,15,16,6,5,5,8,4,1
E00016121,130,8,1,11,3,9,7,6,16,13,9,17,14,4,5,2,2,2,1
E00016123,161,13,9,12,12,14,3,3,16,14,13,17,14,3,4,5,5,4,0
E00016158,151,23,7,12,5,6,11,6,13,13,15,11,13,6,3,2,3,1,1
E00016113,204,11,12,21,11,16,8,11,13,17,11,17,15,15,4,6,6,6,4
E00016120,171,17,17,21,7,5,10,15,15,8,10,16,15,8,0,1,2,0,4
E00016122,203,14,25,30,8,9,8,11,25,19,11,10,10,10,7,1,2,1,2
E00016124,164,13,22,26,13,7,4,9,9,12,9,11,11,8,6,1,1,0,2
E00016125,167,18,10,15,19,6,6,14,11,15,9,12,10,6,4,5,0,5,2
E00016114,146,5,8,15,6,9,8,4,17,7,5,22,14,9,5,2,6,2,2
E00016128,166,8,20,18,14,7,6,12,15,13,9,8,15,7,4,2,4,3,1
E00016130,177,17,9,13,12,8,14,9,18,11,13,15,13,10,2,2,5,5,1
E00016133,170,8,25,23,8,5,9,8,21,12,5,12,10,16,5,2,0,1,0
