WD22CD_proposed,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E05013714,7.462949894142555,9.91531404375441,10.021171489061397,6.492589978828511,4.410726887791108,4.622441778405081,6.4043754410726885,8.539167254763585,7.76287932251235,6.439661256175017,7.568807339449541,6.8454481298518,4.728299223712067,2.7170077628793226,2.4700070571630204,1.8877911079745942,1.1644318983768525,0.5469301340860974
E05013715,6.391242937853107,5.896892655367232,4.8375706214689265,4.8964218455743875,4.661016949152542,8.709981167608285,10.863935969868173,10.416666666666666,9.133709981167609,8.086158192090396,6.744350282485875,4.80225988700565,4.096045197740113,3.0131826741996233,2.8130885122410545,1.7302259887005649,1.7302259887005649,1.177024482109228
E05013716,6.454436057324144,5.3385843999562415,3.8507821901323704,3.6538671917733287,8.029756044196477,12.241549064653757,13.827808773657148,12.088392954818948,8.653320205666777,6.596652445027896,5.644896619625862,3.960179411442949,3.1943988622688986,1.9691499835904167,1.5534405426102178,1.0830324909747293,1.02833388031944,0.8314188819603983
E05013717,7.945463093559003,7.204983544898918,6.8406205923836385,6.640808650681711,5.453690644099671,5.441937000470146,6.54677950164551,7.863187588152328,8.392101551480959,7.416549130230371,7.204983544898918,6.8406205923836385,5.136342266102492,3.455571227080395,2.926657263751763,1.8335684062059239,1.4927127409496943,1.3634226610249178
E05013718,7.597780126849894,7.809196617336152,4.386892177589852,3.845137420718816,4.413319238900634,7.122093023255814,10.002642706131079,11.997885835095138,10.927589852008456,7.174947145877378,6.765327695560254,5.351479915433404,3.990486257928118,2.761627906976744,2.061310782241015,1.6516913319238902,1.0042283298097252,1.1363636363636365
E05013719,5.48834840188463,5.5647523239526295,6.417929453711957,4.660639246147969,7.704062141856615,10.798420985610594,12.97593276454858,9.63962816757927,8.353495479434612,6.03590984337196,5.768496116133962,5.641156246020629,4.049407869603973,3.1070928307653127,1.4007385712466573,1.1969947790653253,0.5348274544759964,0.6621673245893289
E05013720,6.920335670766755,8.828600988619382,9.070008046901943,6.414530405793769,5.333946430624209,5.150017243361306,6.472008276813427,8.840096562823312,7.713530290838027,7.587078974594781,7.173238303253248,5.805264972985401,4.345327049086102,2.954362570410392,2.4945396022531328,1.839291872629038,1.655362685366134,1.4024600528796414
E05013721,5.070498915401301,6.019522776572668,5.056941431670282,4.0130151843817785,9.503796095444686,13.557483731019524,13.950650759219089,11.225596529284164,7.009219088937093,5.97885032537961,5.545010845986985,4.799349240780911,3.511388286334056,1.5862255965292842,1.5726681127982647,0.596529284164859,0.4609544468546638,0.5422993492407809
E05013722,7.369179068650984,8.077292366778684,7.4531925108017285,4.416706673067691,4.380700912145944,8.185309649543926,10.645703312530005,10.129620739318291,8.509361497839654,7.165146423427749,6.024963994239078,5.13682189150264,4.008641382621219,2.8804608737397985,2.5564090254440712,1.4162265962554008,0.7081132981277004,0.9361497839654345
E05013723,7.414571244358479,7.711154094132818,6.434558349451966,5.519019987105094,4.397163120567376,6.112185686653771,7.891682785299807,9.774339136041263,8.652482269503546,6.627981947130883,6.602192134107027,5.996131528046422,5.5963894261766605,3.3913604126370083,3.249516441005803,2.140554480980013,1.4829142488716958,1.0058027079303675
