WD22CD_proposed,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E05013714,5668,423,562,568,368,250,262,363,484,440,365,429,388,268,154,140,107,66,31
E05013715,8496,543,501,411,416,396,740,923,885,776,687,573,408,348,256,239,147,147,100
E05013716,9141,590,488,352,334,734,1119,1264,1105,791,603,516,362,292,180,142,99,94,76
E05013717,8508,676,613,582,565,464,463,557,669,714,631,613,582,437,294,249,156,127,116
E05013718,7568,575,591,332,291,334,539,757,908,827,543,512,405,302,209,156,125,76,86
E05013719,7853,431,437,504,366,605,848,1019,757,656,474,453,443,318,244,110,94,42,52
E05013720,8699,602,768,789,558,464,448,563,769,671,660,624,505,378,257,217,160,144,122
E05013721,7376,374,444,373,296,701,1000,1029,828,517,441,409,354,259,117,116,44,34,40
E05013722,8332,614,673,621,368,365,682,887,844,709,597,502,428,334,240,213,118,59,78
E05013723,7755,575,598,499,428,341,474,612,758,671,514,512,465,434,263,252,166,115,78
E05013724,10253,737,688,679,693,566,669,984,1011,932,740,608,705,455,242,206,130,116,92
E05013725,8214,550,516,411,353,543,878,811,788,770,563,531,475,325,218,204,121,87,70
E05013726,8225,536,631,518,400,365,616,727,872,815,612,530,465,346,232,216,141,113,90
E05013727,3955,253,192,133,116,287,653,732,499,291,193,198,125,90,79,55,25,20,14
E05013728,4757,312,320,278,314,356,566,513,511,341,282,252,238,176,105,68,47,51,27
E05013729,9484,740,734,599,425,414,673,867,948,878,743,649,546,343,275,242,191,116,101
E05013730,9894,1072,580,581,466,509,714,906,1004,899,714,668,675,382,231,174,111,115,93
E05013731,8549,630,578,497,370,437,686,690,841,862,617,592,481,368,297,241,146,108,108
E05013732,8746,537,497,483,339,647,959,1288,740,660,629,498,457,334,230,187,119,77,65
