LSOA11CD,Total,0-18,19-65,66+
E01003189,1691,525,1006,160
E01003190,2418,800,1488,130
E01003191,1633,440,1024,169
E01003192,1740,476,1091,173
E01003193,1706,428,1038,240
E01003194,1876,468,1170,238
E01003195,1596,405,1001,190
E01003196,1833,586,1069,178
E01003197,1634,424,1050,160
E01003198,1485,355,924,206
E01003199,1920,360,1353,207
E01003200,1684,316,1187,181
E01003201,1762,388,1215,159
E01003202,1582,287,1001,294
E01003203,2076,362,1517,197
E01003204,1724,413,1181,130
E01003205,1407,444,849,114
E01003206,1672,333,1161,178
E01003207,1768,359,1239,170
E01003209,2091,366,1596,129
E01003210,2000,368,1534,98
E01003211,1533,287,1149,97
E01003212,2099,361,1561,177
E01003213,2072,421,1520,131
E01003214,1887,432,1339,116
E01003215,2140,368,1685,87
E01003216,1966,523,1282,161
E01003217,1638,437,1017,184
E01003218,1657,450,1027,180
E01003219,1719,420,1073,226
E01003220,1784,361,1229,194
E01003221,2161,550,1373,238
E01003222,1735,414,1156,165
E01003223,1690,348,1085,257
E01003224,1776,505,1102,169
E01003225,1602,431,1006,165
E01003226,1725,378,1206,141
E01003227,1710,375,1160,175
E01003228,1568,338,1094,136
E01003229,1676,362,1145,169
E01003230,2025,504,1375,146
E01003231,1594,335,1141,118
E01003232,1854,479,1181,194
E01003233,1785,418,1198,169
E01003235,1315,323,842,150
E01003236,1691,472,1077,142
E01003237,1672,504,1002,166
E01003238,1383,404,863,116
E01003239,1542,441,949,152
E01003240,1909,525,1178,206
E01003241,1671,296,995,380
E01003243,1528,407,969,152
E01003244,1687,540,1071,76
E01003245,1861,544,1246,71
E01003246,1934,437,1395,102
E01003247,2292,294,1877,121
E01003248,1707,424,1206,77
E01003249,2106,342,1629,135
E01003250,4024,632,3220,172
E01003251,2224,635,1469,120
E01003252,1477,473,902,102
E01003253,1539,275,1080,184
E01003254,1528,367,959,202
E01003255,2195,364,1698,133
E01003256,2533,591,1740,202
E01003257,1691,424,1041,226
E01003258,1493,445,973,75
E01003259,1851,435,1278,138
E01003260,1980,655,1117,208
E01003261,1498,385,934,179
E01003262,1545,410,1039,96
E01003263,1795,476,1132,187
E01003264,1552,344,992,216
E01003265,1613,462,1059,92
E01003266,1786,462,1080,244
E01003267,1534,400,958,176
E01003268,1928,493,1258,177
E01003269,1660,384,1070,206
E01003270,1770,351,1190,229
E01003271,1688,354,1039,295
E01003272,2066,358,1536,172
E01003273,1987,355,1455,177
E01003274,1731,338,1230,163
E01003275,1659,380,1051,228
E01003276,1901,512,1221,168
E01003277,1762,301,1326,135
E01003278,1963,380,1420,163
E01003279,1666,330,1131,205
E01003280,1776,492,1097,187
E01003281,1566,373,969,224
E01003282,2674,490,1995,189
E01003283,2223,521,1456,246
E01003284,1935,431,1315,189
E01003285,2039,459,1356,224
E01003286,1776,486,1084,206
E01003287,2091,533,1324,234
E01003288,2180,426,1446,308
E01003290,1707,346,1234,127
E01003291,1383,354,894,135
E01003292,1600,364,1112,124
E01003293,1593,336,1131,126
E01003295,1945,559,1218,168
E01003296,6068,1038,4874,156
E01003297,1649,375,1234,40
E01003298,1266,302,867,97
E01003299,1698,356,1240,102
E01003300,1306,297,885,124
E01003301,2406,442,1885,79
E01003302,1610,362,1105,143
E01003303,1558,286,1166,106
E01003304,2226,380,1725,121
E01003305,1968,480,1307,181
E01003307,1562,332,1057,173
E01003308,1939,471,1276,192
E01003309,1552,415,962,175
E01003310,1723,334,1291,98
E01003311,1720,456,1023,241
E01003312,1755,397,1160,198
E01003313,1517,431,986,100
E01003314,1828,489,1220,119
E01003315,1393,268,1023,102
E01003316,1523,340,1028,155
E01003317,2980,811,1983,186
E01003318,2016,515,1343,158
E01003319,2019,566,1257,196
E01003320,1370,321,952,97
E01003321,2032,514,1364,154
E01003322,1545,336,1075,134
E01003323,1429,320,1000,109
E01003324,1837,485,1238,114
E01003325,1778,495,1150,133
E01003326,1576,359,1005,212
E01003327,1959,370,1403,186
E01003328,1766,360,1210,196
E01003329,1691,433,1104,154
E01003330,1712,505,998,209
E01003331,1537,330,962,245
E01003332,1611,344,1106,161
E01003333,1587,354,1091,142
E01003334,1919,475,1277,167
E01003335,1421,352,879,190
E01003336,1466,408,938,120
E01003337,1617,497,1007,113
E01003338,2086,450,1449,187
E01003339,1748,326,1260,162
E01003340,1921,256,1539,126
E01003341,1470,304,1054,112
E01003342,1735,393,1232,110
E01003343,1528,330,1043,155
E01003344,1806,306,1376,124
E01003345,2094,414,1558,122
E01003346,1639,422,1022,195
E01003347,1858,654,1058,146
E01003348,1685,474,1029,182
E01003349,1657,530,1020,107
E01003350,1260,323,811,126
E01003351,1555,464,907,184
E01003352,2397,667,1463,267
E01003353,1818,482,1103,233
E01003354,2013,559,1315,139
E01032564,1339,403,805,131
E01032565,1629,474,958,197
E01032579,1948,379,1504,65
E01033320,1835,397,1265,173
E01033322,1426,257,1112,57
E01033324,1604,333,1087,184
E01033325,1616,130,1442,44
E01033327,2077,298,1639,140
E01033341,1311,412,821,78
