OA11CD,Total,0-18,19-65,66+
E00016115,326,75,202,49
E00016136,314,89,191,34
E00016137,404,145,228,31
E00016138,295,95,176,24
E00016139,352,121,209,22
E00016116,389,115,249,25
E00016129,359,120,227,12
E00016142,716,230,439,47
E00016144,346,120,205,21
E00016145,263,86,165,12
E00016150,345,129,203,13
E00016117,311,100,176,35
E00016132,324,98,204,22
E00016143,386,92,254,40
E00016147,322,80,210,32
E00016153,290,70,180,40
E00016141,289,79,175,35
E00016146,343,93,222,28
E00016148,299,86,173,40
E00016149,276,75,178,23
E00016151,289,83,182,24
E00016152,244,60,161,23
E00016126,335,77,194,64
E00016127,424,100,264,60
E00016131,349,106,212,31
E00016134,275,60,160,55
E00016140,323,85,208,30
E00016118,380,70,247,63
E00016154,314,81,165,68
E00016155,449,112,310,27
E00016156,349,84,211,54
E00016157,384,121,237,26
E00016112,341,93,200,48
E00016119,354,89,219,46
E00016121,271,62,186,23
E00016123,323,83,198,42
E00016158,307,78,198,31
E00016113,394,95,241,58
E00016120,339,107,209,23
E00016122,405,128,244,33
E00016124,333,136,171,26
E00016125,362,120,204,38
E00016114,310,74,204,32
E00016128,332,98,199,35
E00016130,323,73,216,34
E00016133,346,103,224,19
E00016135,323,76,207,40
E00016178,268,67,163,38
E00016179,322,65,232,25
E00016180,284,62,173,49
E00016187,320,86,186,48
E00016189,291,75,170,46
E00016159,325,73,200,52
E00016173,294,63,197,34
E00016176,300,79,203,18
E00016184,237,27,182,28
E00016186,482,67,385,30
E00016188,282,51,186,45
E00016166,198,34,144,20
E00016167,258,60,144,54
E00016171,317,35,266,16
E00016174,300,81,187,32
E00016204,294,48,206,40
E00016206,317,58,240,19
E00016164,324,77,209,38
E00016170,477,111,336,30
E00016175,296,53,215,28
E00016181,306,59,217,30
E00016182,359,88,238,33
E00016160,296,61,164,71
E00016183,246,41,164,41
E00016185,217,38,128,51
E00016191,279,49,164,66
E00016195,267,56,166,45
E00016197,277,42,215,20
E00016161,359,59,255,45
E00016190,262,35,169,58
E00016192,359,68,268,23
E00016193,272,34,220,18
E00016194,365,57,286,22
E00016196,459,109,319,31
E00016162,260,63,178,19
E00016198,502,168,306,28
E00016202,428,85,319,24
E00016205,237,25,181,31
E00016208,297,72,197,28
E00016199,185,56,110,19
E00016200,324,126,178,20
E00016201,417,88,292,37
E00016203,65,18,36,11
E00016207,416,156,233,27
E00016163,337,81,230,26
E00016165,319,67,213,39
E00016168,184,18,143,23
E00016169,284,63,176,45
E00016172,275,46,207,22
E00016177,273,58,192,23
E00016210,398,64,270,64
E00016239,296,42,220,34
E00016240,514,106,393,15
E00016241,178,42,107,29
E00016245,382,105,249,28
E00016211,364,81,257,26
E00016213,398,80,291,27
E00016244,324,49,249,26
E00016250,337,73,245,19
E00174011,120,21,97,2
E00174032,445,35,389,21
E00174033,103,27,68,8
E00016216,376,73,285,18
E00016236,794,148,616,30
E00016246,92,25,59,8
E00016248,346,50,278,18
E00016252,392,72,296,24
E00016219,341,52,266,23
E00016220,202,35,148,19
E00016221,310,70,227,13
E00016223,228,43,171,14
E00016225,238,45,176,17
E00016255,214,42,161,11
E00016214,417,68,313,36
E00016215,325,61,239,25
E00016217,383,68,276,39
E00016237,355,49,269,37
E00016247,295,68,206,21
E00016253,324,47,258,19
E00016218,234,46,180,8
E00016222,339,69,251,19
E00016224,293,55,221,17
E00016226,345,96,222,27
E00016227,461,57,379,25
E00016228,400,98,267,35
E00016229,436,74,329,33
E00016230,358,91,245,22
E00016231,342,75,242,25
E00016232,365,83,262,20
E00016233,386,109,261,16
E00016209,490,105,368,17
E00016235,327,53,264,10
E00016238,382,60,285,37
E00173941,553,82,455,16
E00173942,388,68,313,7
E00016261,396,88,270,38
E00016282,443,112,289,42
E00016288,462,143,293,26
E00016289,349,104,223,22
E00016294,316,76,207,33
E00016281,359,96,220,43
E00016290,331,95,203,33
E00016292,274,76,169,29
E00016293,321,71,210,40
E00016295,353,99,215,39
E00016258,430,119,262,49
E00016259,325,88,193,44
E00016298,477,126,303,48
E00016299,425,117,269,39
E00016260,365,84,240,41
E00016262,274,71,167,36
E00016266,350,84,225,41
E00016267,328,84,204,40
E00016271,402,97,237,68
E00016274,379,87,249,43
E00016276,394,60,290,44
E00016277,387,94,259,34
E00016278,321,71,218,32
E00016285,303,49,213,41
E00016257,413,114,261,38
E00016263,228,46,157,25
E00016265,497,123,331,43
E00016268,467,101,297,69
E00016291,556,166,327,63
E00016256,335,73,224,38
E00016284,283,65,193,25
E00016286,426,111,274,41
E00016296,305,64,219,22
E00016297,386,101,246,39
E00016264,306,56,183,67
E00016269,357,90,223,44
E00016270,280,44,183,53
E00016272,383,96,239,48
E00016273,364,62,257,45
E00016275,414,131,256,27
E00016279,331,97,204,30
E00016280,281,67,178,36
E00016283,373,103,241,29
E00016287,377,107,223,47
E00016335,225,51,149,25
E00016336,377,85,246,46
E00016339,341,101,199,41
E00016340,343,98,222,23
E00016341,316,96,190,30
E00016300,339,60,260,19
E00016310,242,61,151,30
E00016312,338,85,228,25
E00016343,348,94,211,43
E00016344,458,78,356,24
