WD22CD_proposed,Total,0-18,19-65,66+
E05013714,11682,3456,7176,1050
E05013715,17154,3636,11636,1882
E05013716,18649,3337,14109,1203
E05013717,17462,4490,10852,2120
E05013718,15539,3620,10506,1413
E05013719,15617,3252,11353,1012
E05013720,18224,5126,11174,1924
E05013721,14506,2956,10784,766
E05013722,16314,4076,10779,1459
E05013723,15717,3839,10026,1852
E05013724,20631,5129,13752,1750
E05013725,16700,3531,11617,1552
E05013726,16080,3785,10596,1699
E05013727,8043,1387,6302,354
E05013728,9693,2321,6796,576
E05013729,19216,4621,12697,1898
E05013730,19234,4859,12840,1535
E05013731,17377,4027,11403,1947
E05013732,17471,3684,12456,1331
