LSOA11CD,Total,0-18,19-65,66+
E01003189,855,243,521,91
E01003190,1264,356,838,70
E01003191,875,239,568,68
E01003192,903,233,568,102
E01003193,867,198,531,138
E01003194,975,208,626,141
E01003195,796,181,504,111
E01003196,924,267,547,110
E01003197,817,180,541,96
E01003198,814,200,486,128
E01003199,953,187,655,111
E01003200,798,162,535,101
E01003201,910,187,632,91
E01003202,841,152,516,173
E01003203,984,193,687,104
E01003204,894,230,598,66
E01003205,715,184,486,45
E01003206,828,165,570,93
E01003207,852,167,615,70
E01003209,1124,185,866,73
E01003210,969,172,746,51
E01003211,770,128,590,52
E01003212,1033,151,784,98
E01003213,1075,235,771,69
E01003214,1018,230,722,66
E01003215,1163,196,918,49
E01003216,985,234,665,86
E01003217,886,206,564,116
E01003218,854,214,531,109
E01003219,934,221,569,144
E01003220,918,179,630,109
E01003221,1055,234,678,143
E01003222,858,197,555,106
E01003223,845,161,553,131
E01003224,913,234,570,109
E01003225,810,201,511,98
E01003226,846,162,598,86
E01003227,853,196,562,95
E01003228,813,172,563,78
E01003229,878,191,595,92
E01003230,1046,256,722,68
E01003231,830,175,584,71
E01003232,1029,304,606,119
E01003233,866,223,551,92
E01003235,655,167,418,70
E01003236,852,223,561,68
E01003237,891,228,562,101
E01003238,750,196,484,70
E01003239,843,233,505,105
E01003240,1005,259,616,130
E01003241,871,154,497,220
E01003243,817,213,512,92
E01003244,833,277,510,46
E01003245,953,245,673,35
E01003246,971,223,684,64
E01003247,1093,160,843,90
E01003248,867,211,620,36
E01003249,989,172,747,70
E01003250,1930,333,1504,93
E01003251,1191,343,785,63
E01003252,796,233,506,57
E01003253,760,140,529,91
E01003254,742,144,496,102
E01003255,1029,162,792,75
E01003256,1144,280,768,96
E01003257,864,193,535,136
E01003258,729,208,493,28
E01003259,929,212,639,78
E01003260,942,258,563,121
E01003261,779,183,487,109
E01003262,824,225,544,55
E01003263,921,216,604,101
E01003264,834,173,522,139
E01003265,824,192,586,46
E01003266,912,208,561,143
E01003267,778,191,477,110
E01003268,944,215,620,109
E01003269,878,201,566,111
E01003270,891,195,565,131
E01003271,789,160,487,142
E01003272,1102,183,818,101
E01003273,866,187,574,105
E01003274,863,171,591,101
E01003275,854,178,543,133
E01003276,1075,292,679,104
E01003277,880,146,665,69
E01003278,1017,194,745,78
E01003279,858,152,601,105
E01003280,874,225,543,106
E01003281,772,169,478,125
E01003282,1305,243,963,99
E01003283,1071,213,719,139
E01003284,917,212,610,95
E01003285,989,213,641,135
E01003286,906,233,537,136
E01003287,1021,258,636,127
E01003288,1101,191,722,188
E01003290,830,137,617,76
E01003291,713,168,459,86
E01003292,788,169,555,64
E01003293,828,161,593,74
E01003295,1007,256,650,101
E01003296,3094,545,2468,81
E01003297,820,190,605,25
E01003298,660,144,467,49
E01003299,862,188,612,62
E01003300,654,134,456,64
E01003301,1120,202,881,37
E01003302,825,185,572,68
E01003303,740,132,546,62
E01003304,1071,188,813,70
E01003305,1061,251,714,96
E01003307,807,173,545,89
E01003308,1029,227,688,114
E01003309,789,180,528,81
E01003310,861,171,638,52
E01003311,877,223,525,129
E01003312,900,201,587,112
E01003313,728,182,501,45
E01003314,909,213,632,64
E01003315,706,151,492,63
E01003316,766,163,517,86
E01003317,1370,314,960,96
E01003318,893,256,568,69
E01003319,1010,258,630,122
E01003320,732,161,510,61
E01003321,935,183,664,88
E01003322,722,172,468,82
E01003323,719,146,512,61
E01003324,919,271,578,70
E01003325,880,231,572,77
E01003326,832,188,507,137
E01003327,876,183,605,88
E01003328,908,209,598,101
E01003329,882,231,559,92
E01003330,971,253,600,118
E01003331,815,176,475,164
E01003332,784,176,530,78
E01003333,772,148,550,74
E01003334,944,210,642,92
E01003335,741,178,450,113
E01003336,732,199,462,71
E01003337,852,250,529,73
E01003338,1058,231,729,98
E01003339,823,160,585,78
E01003340,934,128,739,67
E01003341,726,151,524,51
E01003342,834,199,567,68
E01003343,738,172,491,75
E01003344,987,161,759,67
E01003345,1041,232,761,48
E01003346,820,200,509,111
E01003347,1027,311,626,90
E01003348,864,249,513,102
E01003349,850,245,545,60
E01003350,657,179,412,66
E01003351,844,241,506,97
E01003352,1209,330,726,153
E01003353,931,232,552,147
E01003354,975,256,642,77
E01032564,708,189,465,54
E01032565,787,207,465,115
E01032579,986,180,774,32
E01033320,915,202,607,106
E01033322,637,114,502,21
E01033324,881,173,604,104
E01033325,650,53,580,17
E01033327,1050,163,801,86
E01033341,643,189,418,36
