OA11CD,Total,0-18,19-65,66+
E00016115,162,41,96,25
E00016136,154,46,89,19
E00016137,211,66,124,21
E00016138,161,43,101,17
E00016139,167,47,111,9
E00016116,206,66,127,13
E00016129,193,54,130,9
E00016142,382,100,253,29
E00016144,169,38,123,8
E00016145,133,32,95,6
E00016150,181,66,110,5
E00016117,174,53,106,15
E00016132,162,54,101,7
E00016143,211,53,140,18
E00016147,173,42,116,15
E00016153,155,37,105,13
E00016141,147,40,85,22
E00016146,181,50,111,20
E00016148,161,38,96,27
E00016149,135,34,92,9
E00016151,157,39,100,18
E00016152,122,32,84,6
E00016126,169,32,101,36
E00016127,215,52,133,30
E00016131,180,45,114,21
E00016134,148,33,85,30
E00016140,155,36,98,21
E00016118,195,34,124,37
E00016154,171,34,95,42
E00016155,233,58,158,17
E00016156,195,38,124,33
E00016157,181,44,125,12
E00016112,168,33,105,30
E00016119,169,40,106,23
E00016121,141,39,90,12
E00016123,162,38,99,25
E00016158,156,31,104,21
E00016113,190,43,114,33
E00016120,168,46,106,16
E00016122,202,53,127,22
E00016124,169,63,89,17
E00016125,195,62,111,22
E00016114,164,41,105,18
E00016128,166,40,104,22
E00016130,146,26,100,20
E00016133,176,42,123,11
E00016135,165,31,109,25
E00016178,158,38,94,26
E00016179,174,35,126,13
E00016180,151,37,85,29
E00016187,178,49,94,35
E00016189,153,41,87,25
E00016159,161,39,94,28
E00016173,161,35,108,18
E00016176,147,42,95,10
E00016184,118,13,90,15
E00016186,227,38,174,15
E00016188,139,20,94,25
E00016166,111,24,77,10
E00016167,127,29,69,29
E00016171,134,18,108,8
E00016174,136,34,81,21
E00016204,142,25,95,22
E00016206,148,32,105,11
E00016164,168,31,112,25
E00016170,245,56,176,13
E00016175,154,25,113,16
E00016181,154,27,109,18
E00016182,189,48,122,19
E00016160,163,34,89,40
E00016183,133,25,83,25
E00016185,116,20,64,32
E00016191,141,22,84,35
E00016195,144,30,86,28
E00016197,144,21,110,13
E00016161,188,36,123,29
E00016190,100,17,60,23
E00016192,158,37,107,14
E00016193,115,19,89,7
E00016194,183,31,141,11
E00016196,240,53,167,20
E00016162,139,34,94,11
E00016198,252,91,149,12
E00016202,234,52,165,17
E00016205,111,9,88,14
E00016208,158,44,102,12
E00016199,83,21,53,9
E00016200,173,47,114,12
E00016201,216,36,166,14
E00016203,25,12,13,0
E00016207,218,68,140,10
E00016163,171,43,115,13
E00016165,161,40,100,21
E00016168,96,11,74,11
E00016169,136,33,81,22
E00016172,126,16,94,16
E00016177,138,22,106,10
E00016210,194,32,132,30
E00016239,140,23,105,12
E00016240,249,48,193,8
E00016241,90,21,59,10
E00016245,179,43,126,10
E00016211,197,41,143,13
E00016213,209,40,153,16
E00016244,172,23,133,16
E00016250,163,33,120,10
E00174011,46,8,38,0
E00174032,282,24,244,14
E00174033,55,16,35,4
E00016216,188,33,145,10
E00016236,369,73,282,14
E00016246,50,12,33,5
E00016248,169,23,136,10
E00016252,193,31,150,12
E00016219,164,17,134,13
E00016220,108,20,78,10
E00016221,159,33,120,6
E00016223,104,10,88,6
E00016225,121,24,89,8
E00016255,114,24,81,9
E00016214,212,27,164,21
E00016215,154,27,112,15
E00016217,192,32,135,25
E00016237,178,21,140,17
E00016247,148,26,110,12
E00016253,149,18,123,8
E00016218,114,23,88,3
E00016222,163,36,117,10
E00016224,148,31,107,10
E00016226,182,57,112,13
E00016227,267,36,215,16
E00016228,201,52,132,17
E00016229,227,34,176,17
E00016230,203,55,132,16
E00016231,188,42,130,16
E00016232,191,49,132,10
E00016233,209,50,152,7
E00016209,252,54,190,8
E00016235,162,27,130,5
E00016238,189,32,133,24
E00173941,347,48,290,9
E00173942,213,35,175,3
E00016261,202,39,142,21
E00016282,211,44,144,23
E00016288,248,75,160,13
E00016289,173,52,113,8
E00016294,151,24,106,21
E00016281,185,45,117,23
E00016290,180,47,111,22
E00016292,149,36,95,18
E00016293,181,34,119,28
E00016295,191,44,122,25
E00016258,223,55,138,30
E00016259,162,37,97,28
E00016298,250,65,158,27
E00016299,219,57,138,24
E00016260,196,45,125,26
E00016262,141,32,82,27
E00016266,199,49,126,24
E00016267,168,43,97,28
E00016271,230,52,139,39
E00016274,203,46,136,21
E00016276,202,29,144,29
E00016277,189,39,131,19
E00016278,168,40,107,21
E00016285,156,25,112,19
E00016257,197,44,127,26
E00016263,112,19,79,14
E00016265,236,45,160,31
E00016268,227,41,145,41
E00016291,283,85,167,31
E00016256,172,36,107,29
E00016284,139,29,94,16
E00016286,208,52,132,24
E00016296,139,28,99,12
E00016297,200,52,123,25
E00016264,164,27,100,37
E00016269,182,41,118,23
E00016270,148,25,95,28
E00016272,176,41,110,25
E00016273,175,27,130,18
E00016275,214,61,134,19
E00016279,171,41,108,22
E00016280,133,28,84,21
E00016283,195,50,128,17
E00016287,200,54,116,30
E00016335,113,21,72,20
E00016336,179,35,117,27
E00016339,179,52,107,20
E00016340,185,52,120,13
E00016341,154,41,95,18
E00016300,129,22,99,8
E00016310,121,24,79,18
E00016312,167,35,117,15
E00016343,182,41,115,26
E00016344,247,40,188,19
E00016301,222,54,148,20
E00016302,145,27,105,13
E00016316,161,37,99,25
E00016338,179,31,123,25
E00016342,146,47,87,12
E00016303,208,38,147,23
E00016304,177,31,131,15
E00016313,128,31,91,6
E00016318,160,43,98,19
E00016345,140,29,96,15
E00016307,206,51,126,29
E00016314,152,32,101,19
E00016319,121,19,83,19
E00016321,170,32,131,7
E00016322,229,57,154,18
E00016305,142,38,91,13
E00016306,171,37,118,16
E00016308,201,52,138,11
E00016315,225,53,161,11
E00016317,151,42,96,13
E00016320,156,34,118,4
E00016309,152,23,114,15
E00016323,136,23,96,17
E00016324,197,42,143,12
E00016325,173,39,123,11
E00016327,172,48,108,16
E00016326,199,67,113,19
E00016329,227,71,136,20
E00016332,250,73,135,42
E00016333,147,35,100,12
E00016337,206,58,122,26
E00016311,164,41,108,15
E00016328,148,41,95,12
E00016330,118,29,75,14
E00016331,194,48,119,27
E00016334,242,64,154,24
E00016361,116,29,71,16
E00016363,170,43,116,11
E00016366,137,41,81,15
E00016367,91,24,59,8
E00016368,141,30,91,20
E00016350,163,39,111,13
E00016369,195,47,133,15
E00016370,191,52,125,14
E00016371,168,53,104,11
E00016374,135,32,88,15
E00016352,140,41,85,14
E00016373,206,56,124,26
E00016378,198,51,125,22
E00016381,208,51,134,23
E00016382,139,29,94,16
E00016348,124,33,74,17
E00016372,192,53,123,16
