LSOA11CD,Total,0-18,19-65,66+
E01003189,836,282,485,69
E01003190,1154,444,650,60
E01003191,758,201,456,101
E01003192,837,243,523,71
E01003193,839,230,507,102
E01003194,901,260,544,97
E01003195,800,224,497,79
E01003196,909,319,522,68
E01003197,817,244,509,64
E01003198,671,155,438,78
E01003199,967,173,698,96
E01003200,886,154,652,80
E01003201,852,201,583,68
E01003202,741,135,485,121
E01003203,1092,169,830,93
E01003204,830,183,583,64
E01003205,692,260,363,69
E01003206,844,168,591,85
E01003207,916,192,624,100
E01003209,967,181,730,56
E01003210,1031,196,788,47
E01003211,763,159,559,45
E01003212,1066,210,777,79
E01003213,997,186,749,62
E01003214,869,202,617,50
E01003215,977,172,767,38
E01003216,981,289,617,75
E01003217,752,231,453,68
E01003218,803,236,496,71
E01003219,785,199,504,82
E01003220,866,182,599,85
E01003221,1106,316,695,95
E01003222,877,217,601,59
E01003223,845,187,532,126
E01003224,863,271,532,60
E01003225,792,230,495,67
E01003226,879,216,608,55
E01003227,857,179,598,80
E01003228,755,166,531,58
E01003229,798,171,550,77
E01003230,979,248,653,78
E01003231,764,160,557,47
E01003232,825,175,575,75
E01003233,919,195,647,77
E01003235,660,156,424,80
E01003236,839,249,516,74
E01003237,781,276,440,65
E01003238,633,208,379,46
E01003239,699,208,444,47
E01003240,904,266,562,76
E01003241,800,142,498,160
E01003243,711,194,457,60
E01003244,854,263,561,30
E01003245,908,299,573,36
E01003246,963,214,711,38
E01003247,1199,134,1034,31
E01003248,840,213,586,41
E01003249,1117,170,882,65
E01003250,2094,299,1716,79
E01003251,1033,292,684,57
E01003252,681,240,396,45
E01003253,779,135,551,93
E01003254,786,223,463,100
E01003255,1166,202,906,58
E01003256,1389,311,972,106
E01003257,827,231,506,90
E01003258,764,237,480,47
E01003259,922,223,639,60
E01003260,1038,397,554,87
E01003261,719,202,447,70
E01003262,721,185,495,41
E01003263,874,260,528,86
E01003264,718,171,470,77
E01003265,789,270,473,46
E01003266,874,254,519,101
E01003267,756,209,481,66
E01003268,984,278,638,68
E01003269,782,183,504,95
E01003270,879,156,625,98
E01003271,899,194,552,153
E01003272,964,175,718,71
E01003273,1121,168,881,72
E01003274,868,167,639,62
E01003275,805,202,508,95
E01003276,826,220,542,64
E01003277,882,155,661,66
E01003278,946,186,675,85
E01003279,808,178,530,100
E01003280,902,267,554,81
E01003281,794,204,491,99
E01003282,1369,247,1032,90
E01003283,1152,308,737,107
E01003284,1018,219,705,94
E01003285,1050,246,715,89
E01003286,870,253,547,70
E01003287,1070,275,688,107
E01003288,1079,235,724,120
E01003290,877,209,617,51
E01003291,670,186,435,49
E01003292,812,195,557,60
E01003293,765,175,538,52
E01003295,938,303,568,67
E01003296,2974,493,2406,75
E01003297,829,185,629,15
E01003298,606,158,400,48
E01003299,836,168,628,40
E01003300,652,163,429,60
E01003301,1286,240,1004,42
E01003302,785,177,533,75
E01003303,818,154,620,44
E01003304,1155,192,912,51
E01003305,907,229,593,85
E01003307,755,159,512,84
E01003308,910,244,588,78
E01003309,763,235,434,94
E01003310,862,163,653,46
E01003311,843,233,498,112
E01003312,855,196,573,86
E01003313,789,249,485,55
E01003314,919,276,588,55
E01003315,687,117,531,39
E01003316,757,177,511,69
E01003317,1610,497,1023,90
E01003318,1123,259,775,89
E01003319,1009,308,627,74
E01003320,638,160,442,36
E01003321,1097,331,700,66
E01003322,823,164,607,52
E01003323,710,174,488,48
E01003324,918,214,660,44
E01003325,898,264,578,56
E01003326,744,171,498,75
E01003327,1083,187,798,98
E01003328,858,151,612,95
E01003329,809,202,545,62
E01003330,741,252,398,91
E01003331,722,154,487,81
E01003332,827,168,576,83
E01003333,815,206,541,68
E01003334,975,265,635,75
E01003335,680,174,429,77
E01003336,734,209,476,49
E01003337,765,247,478,40
E01003338,1028,219,720,89
E01003339,925,166,675,84
E01003340,987,128,800,59
E01003341,744,153,530,61
E01003342,901,194,665,42
E01003343,790,158,552,80
E01003344,819,145,617,57
E01003345,1053,182,797,74
E01003346,819,222,513,84
E01003347,831,343,432,56
E01003348,821,225,516,80
E01003349,807,285,475,47
E01003350,603,144,399,60
E01003351,711,223,401,87
E01003352,1188,337,737,114
E01003353,887,250,551,86
E01003354,1038,303,673,62
E01032564,631,214,340,77
E01032565,842,267,493,82
E01032579,962,199,730,33
E01033320,920,195,658,67
E01033322,789,143,610,36
E01033324,723,160,483,80
E01033325,966,77,862,27
E01033327,1027,135,838,54
E01033341,668,223,403,42
