OA11CD,Total,0-18,19-65,66+
E00016115,164,34,106,24
E00016136,160,43,102,15
E00016137,193,79,104,10
E00016138,134,52,75,7
E00016139,185,74,98,13
E00016116,183,49,122,12
E00016129,166,66,97,3
E00016142,334,130,186,18
E00016144,177,82,82,13
E00016145,130,54,70,6
E00016150,164,63,93,8
E00016117,137,47,70,20
E00016132,162,44,103,15
E00016143,175,39,114,22
E00016147,149,38,94,17
E00016153,135,33,75,27
E00016141,142,39,90,13
E00016146,162,43,111,8
E00016148,138,48,77,13
E00016149,141,41,86,14
E00016151,132,44,82,6
E00016152,122,28,77,17
E00016126,166,45,93,28
E00016127,209,48,131,30
E00016131,169,61,98,10
E00016134,127,27,75,25
E00016140,168,49,110,9
E00016118,185,36,123,26
E00016154,143,47,70,26
E00016155,216,54,152,10
E00016156,154,46,87,21
E00016157,203,77,112,14
E00016112,173,60,95,18
E00016119,185,49,113,23
E00016121,130,23,96,11
E00016123,161,45,99,17
E00016158,151,47,94,10
E00016113,204,52,127,25
E00016120,171,61,103,7
E00016122,203,75,117,11
E00016124,164,73,82,9
E00016125,167,58,93,16
E00016114,146,33,99,14
E00016128,166,58,95,13
E00016130,177,47,116,14
E00016133,170,61,101,8
E00016135,158,45,98,15
E00016178,110,29,69,12
E00016179,148,30,106,12
E00016180,133,25,88,20
E00016187,142,37,92,13
E00016189,138,34,83,21
E00016159,164,34,106,24
E00016173,133,28,89,16
E00016176,153,37,108,8
E00016184,119,14,92,13
E00016186,255,29,211,15
E00016188,143,31,92,20
E00016166,87,10,67,10
E00016167,131,31,75,25
E00016171,183,17,158,8
E00016174,164,47,106,11
E00016204,152,23,111,18
E00016206,169,26,135,8
E00016164,156,46,97,13
E00016170,232,55,160,17
E00016175,142,28,102,12
E00016181,152,32,108,12
E00016182,170,40,116,14
E00016160,133,27,75,31
E00016183,113,16,81,16
E00016185,101,18,64,19
E00016191,138,27,80,31
E00016195,123,26,80,17
E00016197,133,21,105,7
E00016161,171,23,132,16
E00016190,162,18,109,35
E00016192,201,31,161,9
E00016193,157,15,131,11
E00016194,182,26,145,11
E00016196,219,56,152,11
E00016162,121,29,84,8
E00016198,250,77,157,16
E00016202,194,33,154,7
E00016205,126,16,93,17
E00016208,139,28,95,16
E00016199,102,35,57,10
E00016200,151,79,64,8
E00016201,201,52,126,23
E00016203,40,6,23,11
E00016207,198,88,93,17
E00016163,166,38,115,13
E00016165,158,27,113,18
E00016168,88,7,69,12
E00016169,148,30,95,23
E00016172,149,30,113,6
E00016177,135,36,86,13
E00016210,204,32,138,34
E00016239,156,19,115,22
E00016240,265,58,200,7
E00016241,88,21,48,19
E00016245,203,62,123,18
E00016211,167,40,114,13
E00016213,189,40,138,11
E00016244,152,26,116,10
E00016250,174,40,125,9
E00174011,74,13,59,2
E00174032,163,11,145,7
E00174033,48,11,33,4
E00016216,188,40,140,8
E00016236,425,75,334,16
E00016246,42,13,26,3
E00016248,177,27,142,8
E00016252,199,41,146,12
E00016219,177,35,132,10
E00016220,94,15,70,9
E00016221,151,37,107,7
E00016223,124,33,83,8
E00016225,117,21,87,9
E00016255,100,18,80,2
E00016214,205,41,149,15
E00016215,171,34,127,10
E00016217,191,36,141,14
E00016237,177,28,129,20
E00016247,147,42,96,9
E00016253,175,29,135,11
E00016218,120,23,92,5
E00016222,176,33,134,9
E00016224,145,24,114,7
E00016226,163,39,110,14
E00016227,194,21,164,9
E00016228,199,46,135,18
E00016229,209,40,153,16
E00016230,155,36,113,6
E00016231,154,33,112,9
E00016232,174,34,130,10
E00016233,177,59,109,9
E00016209,238,51,178,9
E00016235,165,26,134,5
E00016238,193,28,152,13
E00173941,206,34,165,7
E00173942,175,33,138,4
E00016261,194,49,128,17
E00016282,232,68,145,19
