WD22CD_proposed,Total,0-18,19-65,66+
E05013714,5668,1856,3344,468
E05013715,8496,1799,5860,837
E05013716,9141,1685,6899,557
E05013717,8508,2349,5289,870
E05013718,7568,1740,5214,614
E05013719,7853,1674,5692,487
E05013720,8699,2632,5232,835
E05013721,7376,1429,5624,323
E05013722,8332,2211,5462,659
E05013723,7755,2036,4913,806
E05013724,10253,2700,6820,733
E05013725,8214,1764,5794,656
E05013726,8225,2019,5469,737
E05013727,3955,665,3122,168
E05013728,4757,1164,3320,273
E05013729,9484,2427,6192,865
E05013730,9894,2626,6608,660
E05013731,8549,2006,5704,839
E05013732,8746,1801,6310,635
