LSOA11CD,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01003189,855,6,16,6,15,9,13,14,12,19,16,19,10,14,17,13,13,13,10,8,9,9,10,7,6,12,11,7,7,9,6,8,15,10,13,12,16,9,13,10,15,17,9,14,14,11,6,8,12,12,9,13,12,14,22,14,11,16,16,10,10,12,13,9,7,3,13,7,5,5,2,3,9,7,6,6,2,6,0,6,0,4,2,1,0,1,4,2,1,1,5,6
E01003190,1264,29,22,29,27,21,19,22,17,13,17,25,15,19,18,14,9,16,11,13,12,15,11,15,12,15,26,15,15,21,15,28,33,37,31,32,19,19,15,15,16,22,20,20,16,22,29,22,20,14,28,18,18,18,9,17,12,15,17,15,12,12,15,7,11,4,8,7,5,0,3,0,2,6,4,4,6,9,3,3,3,1,4,1,2,0,0,1,1,0,1,4
E01003191,875,9,10,9,12,20,28,9,24,29,24,4,7,10,12,10,9,4,4,5,6,3,6,10,10,9,10,12,20,9,12,12,17,23,22,18,13,15,15,15,15,15,12,8,13,11,10,11,17,7,9,11,16,10,5,9,20,20,13,14,9,10,9,17,8,8,4,5,4,4,4,3,4,2,4,3,8,2,1,1,0,0,2,1,0,1,5,4,2,0,3,5
E01003192,903,10,13,16,14,19,12,16,5,21,11,12,12,9,13,13,6,12,12,7,6,8,10,8,15,5,13,10,24,13,22,10,17,14,16,13,17,15,13,16,17,14,22,21,22,8,10,17,13,10,15,5,13,8,10,9,9,11,11,5,8,8,10,7,7,8,5,8,6,1,8,11,9,6,5,0,1,2,3,1,2,8,6,6,2,4,2,1,0,1,1,8
E01003193,867,7,13,13,13,12,11,12,14,7,13,10,11,10,7,13,8,6,12,6,9,7,6,5,12,9,14,9,13,14,10,12,12,14,16,20,11,11,13,13,14,14,10,14,9,15,13,13,12,19,12,14,12,11,4,18,10,10,11,12,3,17,10,5,5,8,6,4,4,6,6,12,10,15,12,11,7,3,8,5,6,4,8,2,3,0,2,2,1,1,0,6
E01003194,975,10,11,14,12,12,13,10,12,9,9,8,9,13,15,13,10,9,14,5,7,4,9,9,9,10,9,16,13,12,18,19,23,8,11,12,11,16,23,12,12,19,23,14,15,14,23,14,23,12,15,10,16,10,14,13,14,18,15,19,11,8,9,9,6,12,7,10,10,9,8,8,4,8,10,3,1,3,4,5,4,3,5,4,3,5,10,5,2,4,3,10
E01003195,796,11,6,12,12,10,13,11,7,12,12,7,8,9,5,9,7,11,6,13,5,5,7,4,9,5,11,7,14,5,3,11,12,7,13,10,19,11,13,8,9,16,14,17,20,16,6,15,9,12,15,13,17,11,14,13,11,15,15,8,14,7,13,7,6,7,5,7,3,5,11,11,7,8,9,4,2,1,7,5,2,3,3,2,1,3,3,3,3,2,1,5
E01003196,924,12,11,6,4,11,12,12,16,24,15,20,19,19,17,15,16,12,12,14,7,3,7,4,8,9,7,7,5,7,4,6,12,14,12,10,19,16,19,23,23,20,19,21,15,12,10,7,13,10,14,6,13,11,12,19,11,15,8,11,7,15,15,12,11,11,7,6,4,6,4,6,3,3,3,2,6,5,6,4,2,4,11,5,11,3,0,2,3,1,0,10
E01003197,817,4,8,7,6,9,9,9,12,16,16,18,7,6,10,8,14,6,9,6,7,4,6,7,6,6,7,7,7,5,7,7,9,11,15,12,10,8,12,11,11,15,9,19,15,15,18,13,10,15,12,12,20,18,15,21,10,17,20,11,16,10,12,11,11,9,12,11,11,8,5,6,7,8,5,4,0,0,3,4,1,1,2,6,1,3,1,1,4,1,0,3
E01003198,814,14,16,10,10,11,11,12,15,11,7,14,9,12,11,10,4,8,7,8,5,4,4,4,4,6,7,10,8,10,15,13,18,7,17,15,16,15,15,17,15,20,18,18,16,10,15,14,9,12,9,17,12,10,9,12,4,6,5,7,8,7,7,5,5,3,3,6,8,7,0,4,2,12,9,8,5,10,6,8,5,3,4,4,4,2,1,1,2,1,4,12
E01003199,953,8,10,10,3,14,7,9,11,12,9,15,10,12,12,7,9,10,10,9,6,4,7,7,8,14,15,19,17,22,20,21,37,24,24,28,19,14,15,18,15,18,12,13,19,8,17,14,23,16,16,9,18,13,6,11,6,12,9,10,6,10,6,6,11,5,7,7,2,8,6,6,10,5,2,7,7,6,7,9,4,3,0,4,1,3,3,2,1,1,4,3
E01003200,798,11,11,16,11,13,13,10,13,14,7,10,3,1,8,11,5,1,2,2,3,6,6,9,7,9,17,13,12,24,21,13,15,19,21,18,14,17,14,14,12,13,14,9,11,10,11,15,15,7,15,6,16,10,11,10,12,8,8,8,11,6,7,6,1,4,7,4,3,7,6,4,6,3,8,3,4,1,9,5,4,3,4,3,5,5,1,1,2,2,1,7
E01003201,910,12,18,11,10,7,14,7,5,9,10,13,7,9,11,11,9,5,10,9,10,3,10,7,11,9,17,12,25,13,27,19,21,17,16,16,10,10,7,11,11,19,12,16,13,20,9,9,12,6,11,12,14,10,19,15,27,16,15,16,11,17,4,11,19,9,8,8,5,4,6,3,5,9,4,5,3,4,2,4,2,2,2,1,3,2,3,2,5,2,0,5
E01003202,841,11,8,7,15,10,6,8,16,10,8,10,9,3,8,5,7,4,5,2,3,1,3,5,4,7,20,15,9,10,21,13,16,15,9,10,23,15,18,9,19,20,19,15,11,12,9,14,21,12,11,10,16,8,7,14,8,10,13,8,6,3,5,4,2,6,7,8,6,4,11,8,10,10,11,9,5,2,6,10,3,9,5,6,6,11,4,6,2,2,2,17
E01003203,984,14,14,11,12,15,8,7,7,15,10,10,12,5,10,10,11,9,5,8,5,6,11,12,15,13,22,15,21,21,19,35,30,25,24,23,19,20,15,13,16,27,21,15,14,14,13,11,14,12,16,11,14,15,10,9,6,11,10,5,8,8,11,6,10,7,9,9,3,7,4,13,6,8,6,7,4,3,3,3,2,2,5,4,2,2,1,1,1,0,1,7
E01003204,894,20,14,12,22,16,12,12,14,9,13,5,6,8,10,8,10,14,10,15,3,6,4,12,12,16,20,22,24,21,22,18,19,23,17,15,12,8,19,25,17,19,9,11,13,9,11,9,12,9,5,5,12,8,19,9,8,12,10,9,9,10,9,11,7,15,3,1,2,4,8,2,6,1,4,3,3,1,2,4,1,4,0,2,0,4,1,1,3,1,3,5
E01003205,715,7,6,5,6,5,14,19,20,13,23,2,5,8,5,3,12,7,12,12,17,8,5,7,9,5,7,8,9,13,10,18,16,15,16,12,34,21,17,30,24,5,8,6,6,3,5,7,11,6,7,5,12,11,10,2,7,4,8,7,6,9,9,7,6,8,10,4,2,2,2,2,3,3,0,1,2,1,0,0,1,1,2,3,4,2,3,2,0,1,0,4
E01003206,828,9,14,21,14,17,13,9,9,6,7,4,9,4,6,5,5,7,4,2,7,5,5,5,8,7,15,13,25,34,24,22,22,24,19,20,19,16,18,11,21,9,13,12,7,8,10,13,3,12,9,13,10,7,10,13,16,11,13,9,3,5,4,1,6,7,6,2,6,8,3,2,5,7,5,6,0,2,1,4,3,3,1,1,3,2,3,0,3,0,1,22
E01003207,852,5,10,9,7,9,2,12,8,5,7,10,7,17,9,15,10,9,9,7,8,11,17,30,31,21,18,16,16,16,13,19,24,14,16,13,12,14,18,19,12,11,10,19,18,13,14,10,7,11,7,15,7,10,7,12,5,8,7,5,6,12,11,10,11,9,2,3,6,6,5,3,3,3,5,4,6,4,4,4,3,1,0,0,0,1,1,1,1,1,1,4
E01003209,1124,9,13,13,8,7,8,16,14,9,7,6,8,6,11,10,6,16,4,14,20,61,46,38,31,19,35,43,42,43,42,24,23,21,11,18,14,12,9,13,16,11,15,12,14,13,8,3,16,12,9,12,12,11,11,13,16,14,14,6,9,9,12,7,8,8,10,7,4,6,2,3,1,3,9,2,4,3,4,4,1,2,3,3,2,2,2,1,1,2,1,1
