WD22CD_proposed,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim (Islam),Sikh,Other religion: Total,Other religion: Animism,Other religion: Baha'i,Other religion: Believe in God,Other religion: Brahma Kumari,Other religion: Chinese Religion,Other religion: Church of All Religion,Other religion: Confucianist,Other religion: Deist,Other religion: Druid,Other religion: Druze,Other religion: Eckankar,Other religion: Heathen,Other religion: Jain,Other religion: Mixed Religion,Other religion: Mysticism,Other religion: Native American Church,Other religion: New Age,Other religion: Occult,Other religion: Own Belief System,Other religion: Pagan,Other religion: Pantheism,Other religion: Rastafarian,Other religion: Ravidassia,Other religion: Reconstructionist,Other religion: Satanism,Other religion: Scientology,Other religion: Shamanism,Other religion: Shintoism,Other religion: Spiritual,Other religion: Spiritualist,Other religion: Taoist,Other religion: Theism,Other religion: Thelemite,Other religion: Traditional African Religion,Other religion: Unification Church,Other religion: Universalist,Other religion: Vodun,Other religion: Wicca,Other religion: Witchcraft,Other religion: Zoroastrian,Other religion: Other religions,No religion: Total,No religion: No religion,No religion: Agnostic,No religion: Atheist,No religion: Free Thinker,No religion: Heavy Metal,No religion: Humanist,No religion: Jedi Knight,No religion: Realist,Religion not stated
E05013714,10627,6053,85,284,16,694,15,38,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,12,1,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,0,5,2464,2422,5,4,0,0,2,31,0,978
E05013715,15544,7801,169,302,59,669,34,91,0,1,4,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,2,8,1,7,0,0,1,1,0,1,8,11,0,0,0,1,6,0,1,2,0,4,14,4912,4809,16,16,0,0,6,65,0,1507
E05013716,16587,7401,227,313,31,888,29,126,0,3,9,0,0,0,1,2,0,0,3,0,6,14,0,0,0,2,1,15,1,12,0,0,1,0,2,1,12,10,2,0,0,3,0,0,1,9,1,1,14,5990,5816,29,21,0,2,11,111,0,1582
E05013717,16097,9495,147,705,20,1317,42,69,0,0,2,2,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,8,0,10,0,1,0,0,0,0,5,10,1,0,0,3,0,0,1,2,0,1,16,2909,2864,9,4,1,1,4,26,0,1393
E05013718,14937,7453,179,205,51,761,28,92,0,1,2,0,0,1,0,0,2,0,0,0,1,5,0,0,0,0,3,21,1,13,0,0,1,0,0,1,16,9,5,0,0,0,0,0,1,2,0,2,5,4737,4652,15,13,0,1,6,50,0,1431
E05013719,14507,7201,535,220,39,1463,28,89,1,4,3,0,0,0,2,0,3,0,1,0,0,2,0,0,0,0,1,13,5,19,0,0,3,0,1,0,6,6,7,0,1,0,0,1,0,3,0,1,6,3591,3508,11,9,0,1,4,58,0,1341
E05013720,16845,9767,85,530,25,993,12,58,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,15,0,7,0,0,0,0,0,0,3,17,1,0,0,0,0,0,0,3,0,1,6,3928,3877,4,5,0,0,3,39,0,1447
E05013721,10917,5757,394,192,21,1030,9,52,0,0,0,1,1,0,0,1,1,2,0,0,0,3,1,0,0,1,0,5,0,6,0,0,1,0,0,1,5,5,1,1,0,1,0,0,0,2,0,0,13,2629,2555,15,8,0,0,5,46,0,833
E05013722,14854,7393,142,207,59,783,30,99,0,3,1,0,0,0,0,0,0,0,0,0,3,12,0,0,2,0,2,22,2,14,0,0,0,0,0,3,9,10,3,0,0,0,4,0,0,3,1,1,4,4835,4757,9,14,0,3,12,39,1,1306
E05013723,14982,8732,112,477,33,892,52,58,0,1,1,0,0,0,0,0,1,0,1,1,0,3,0,0,0,1,0,10,0,3,0,0,0,0,0,1,3,9,0,0,0,0,0,0,0,4,0,0,19,3479,3430,7,5,0,0,9,28,0,1147
