LSOA11CD,Households on Universal Credit
E01003189,265.0
E01003190,352.0
E01003191,246.0
E01003192,279.0
E01003193,198.0
E01003194,253.0
E01003195,148.0
E01003196,233.0
E01003197,299.0
E01003198,129.0
E01003199,124.0
E01003200,73.0
E01003201,202.0
E01003202,70.0
E01003203,301.0
E01003204,142.0
E01003205,137.0
E01003206,97.0
E01003207,315.0
E01003209,277.0
E01003210,215.0
E01003211,207.0
E01003212,224.0
E01003213,205.0
E01003214,242.0
E01003215,231.0
E01003216,192.0
E01003217,148.0
E01003218,96.0
E01003219,149.0
E01003220,176.0
E01003221,269.0
E01003222,175.0
E01003223,168.0
E01003224,193.0
E01003225,78.0
E01003226,144.0
E01003227,113.0
E01003228,120.0
E01003229,272.0
E01003230,226.0
E01003231,184.0
E01003232,110.0
E01003233,128.0
E01003235,166.0
E01003236,226.0
E01003237,225.0
E01003238,174.0
E01003239,196.0
E01003240,231.0
E01003241,176.0
E01003243,171.0
E01003244,257.0
E01003245,279.0
E01003246,323.0
E01003247,248.0
E01003248,271.0
E01003249,266.0
E01003250,331.0
E01003251,290.0
E01003252,270.0
E01003253,239.0
E01003254,75.0
E01003255,308.0
E01003256,328.0
E01003257,125.0
E01003258,235.0
E01003259,197.0
E01003260,136.0
E01003261,107.0
E01003262,127.0
E01003263,189.0
E01003264,177.0
E01003265,235.0
E01003266,244.0
E01003267,185.0
E01003268,187.0
E01003269,145.0
E01003270,120.0
E01003271,79.0
E01003272,205.0
E01003273,151.0
E01003274,144.0
E01003275,208.0
E01003276,147.0
E01003277,202.0
E01003278,299.0
E01003279,136.0
E01003280,150.0
E01003281,80.0
E01003282,281.0
E01003283,138.0
E01003284,161.0
E01003285,176.0
E01003286,187.0
E01003287,107.0
E01003288,271.0
E01003290,326.0
E01003291,256.0
E01003292,193.0
E01003293,220.0
E01003295,232.0
E01003296,585.0
E01003297,233.0
E01003298,227.0
E01003299,277.0
E01003300,264.0
E01003301,249.0
E01003302,293.0
E01003303,292.0
E01003304,365.0
E01003305,277.0
E01003307,120.0
E01003308,193.0
E01003309,244.0
E01003310,239.0
E01003311,122.0
E01003312,175.0
E01003313,223.0
E01003314,150.0
E01003315,161.0
E01003316,120.0
E01003317,265.0
E01003318,404.0
E01003319,257.0
E01003320,223.0
E01003321,285.0
E01003322,182.0
E01003323,192.0
E01003324,270.0
E01003325,262.0
E01003326,193.0
E01003327,142.0
E01003328,191.0
E01003329,173.0
E01003330,191.0
E01003331,141.0
E01003332,143.0
E01003333,176.0
E01003334,227.0
E01003335,225.0
E01003336,213.0
E01003337,237.0
E01003338,339.0
E01003339,248.0
E01003340,211.0
E01003341,104.0
E01003342,174.0
E01003343,159.0
E01003344,189.0
E01003345,178.0
E01003346,238.0
E01003347,363.0
E01003348,181.0
E01003349,165.0
E01003350,220.0
E01003351,227.0
E01003352,282.0
E01003353,146.0
E01003354,262.0
E01032564,198.0
E01032565,144.0
E01032579,339.0
E01033320,182.0
E01033322,142.0
E01033324,197.0
E01033325,106.0
E01033327,296.0
E01033341,216.0
