OA11CD,Month,Households on Universal Credit
E00016460,August 2021,25.0
E00016463,August 2021,76.0
E00016467,August 2021,15.0
E00016469,August 2021,26.0
E00016471,August 2021,71.0
E00016472,August 2021,115.0
E00016447,August 2021,28.0
E00016458,August 2021,18.0
E00016459,August 2021,11.0
E00016464,August 2021,42.0
E00016465,August 2021,13.0
E00016466,August 2021,13.0
E00016475,August 2021,44.0
E00016476,August 2021,40.0
E00016478,August 2021,17.0
E00016479,August 2021,48.0
E00016480,August 2021,46.0
E00016482,August 2021,40.0
E00016468,August 2021,5.0
E00016470,August 2021,23.0
E00016473,August 2021,49.0
E00016474,August 2021,34.0
E00016477,August 2021,20.0
E00016481,August 2021,66.0
E00016684,August 2021,36.0
E00016687,August 2021,21.0
E00016694,August 2021,78.0
E00016718,August 2021,50.0
E00016721,August 2021,57.0
E00016723,August 2021,51.0
E00016679,August 2021,35.0
E00016689,August 2021,42.0
E00016693,August 2021,42.0
E00016701,August 2021,47.0
E00173939,August 2021,111.0
E00016675,August 2021,14.0
E00016677,August 2021,62.0
E00016683,August 2021,31.0
E00016697,August 2021,51.0
E00173940,August 2021,46.0
E00173949,August 2021,45.0
E00016706,August 2021,74.0
E00016708,August 2021,38.0
E00016709,August 2021,67.0
E00016714,August 2021,55.0
E00016715,August 2021,43.0
E00016680,August 2021,34.0
E00016716,August 2021,45.0
E00016717,August 2021,23.0
E00016719,August 2021,59.0
E00016720,August 2021,46.0
E00016725,August 2021,26.0
E00016449,August 2021,30.0
E00016450,August 2021,16.0
E00016451,August 2021,23.0
E00016490,August 2021,22.0
E00016492,August 2021,36.0
E00016445,August 2021,28.0
E00016448,August 2021,12.0
E00016452,August 2021,5.0
E00016454,August 2021,14.0
E00016455,August 2021,16.0
E00016443,August 2021,16.0
E00016483,August 2021,23.0
E00016486,August 2021,29.0
E00016487,August 2021,14.0
E00016491,August 2021,25.0
E00016446,August 2021,46.0
E00016453,August 2021,19.0
E00016456,August 2021,37.0
E00016457,August 2021,37.0
E00016462,August 2021,23.0
E00173944,August 2021,93.0
E00173945,August 2021,53.0
E00016444,August 2021,34.0
E00016484,August 2021,18.0
E00016485,August 2021,48.0
E00016488,August 2021,7.0
E00016489,August 2021,29.0
E00016785,August 2021,38.0
E00016786,August 2021,23.0
E00016787,August 2021,155.0
E00016822,August 2021,35.0
E00016824,August 2021,19.0
E00016783,August 2021,47.0
E00016802,August 2021,63.0
E00016807,August 2021,58.0
E00016809,August 2021,37.0
E00016810,August 2021,80.0
E00016779,August 2021,29.0
E00016789,August 2021,29.0
E00016797,August 2021,27.0
E00016798,August 2021,80.0
E00016821,August 2021,100.0
E00016780,August 2021,75.0
E00016782,August 2021,58.0
